gap_type,keyword,n_runs_found,n_seeds_found,n_sizes_found,mean_score,min_score,max_score,mean_frequency,cluster_labels,support
Emerging Concept,business model,5,5,1,0.7925292038579007,0.6210867213227567,0.9258824829146857,1.0,Competitive advantage & Dynamic managerial capabilities | Digitalization & Firm performance | Digitalization & Microfoundations | Dynamic managerial capabilities & Innovation,1.0
Emerging Concept,social attention,5,5,1,0.7100641148620197,0.7,0.7125801435775245,1.0,Dynamic capability theory & ESG performance | ESG performance & Digital Technology | ESG performance & Firm performance,1.0
Emerging Concept,dt vision,5,5,1,0.6797057071249919,0.6456782808715213,0.7,1.0,Digital Technology & Internationalization | Digital capabilities & Dynamic capability | Digital culture & Dynamic capability | Digital transformation (DT) & Dynamic capability | Dynamic capability & digital capabilities,1.0
Emerging Concept,agrifood businesses,5,5,1,0.5870517242261764,0.49800694848609806,0.739835862474018,1.0,Performance & SMEs | SMEs & Family firms | SMEs & Innovation | SMEs & digital innovation,1.0
Emerging Concept,pär ågerfalk,5,5,1,0.5623811334438944,0.49508582526830625,0.6574837810750165,1.0,Family firms & digital innovation | SMEs & Family firms | SMEs & Innovation | SMEs & digital innovation,1.0
Cross-Cluster Concept,firm performance,5,5,1,0.5467333055879887,0.5467333055879887,0.5467333055879887,3.0,Digitalization & Dynamic capability | Dynamic capability theory & ESG performance | Family firms & digital innovation | SMEs & digital innovation,1.0
Cross-Cluster Concept,digital leadership,5,5,1,0.5349640967632,0.5349640967632,0.5349640967632,3.0,Dynamic capability theory & ESG performance | Dynamic managerial capabilities & Innovation | Family firms & digital innovation | SMEs & digital innovation,1.0
Cross-Cluster Concept,competitive advantage,5,5,1,0.5322526393351861,0.5322526393351861,0.5322526393351861,3.0,Dynamic capability theory & ESG performance | Dynamic managerial capabilities & Innovation | Family firms & digital innovation | SMEs & digital innovation,1.0
Cross-Cluster Concept,technological innovation,5,5,1,0.530151458021491,0.530151458021491,0.530151458021491,3.0,Case study & Dynamic capability | Digitalization & Dynamic capability | Digitalization & Microfoundations | Dynamic capability & digital capabilities | SMEs & digital innovation,1.0
Cross-Cluster Concept,industry 4.0,5,5,1,0.502930982528374,0.502930982528374,0.502930982528374,2.0,Competitive advantage & Dynamic managerial capabilities | Digital maturity & Innovation | Digital maturity & competitive advantage | Dynamic capability & digital capabilities | ESG performance & Firm performance,1.0
Cross-Cluster Concept,family firms,5,5,1,0.4979339525992713,0.49793395259927126,0.49793395259927126,2.0,Competitive advantage & Dynamic managerial capabilities | Digitalization & Dynamic capability | Digitalization & Firm performance | Digitalization & Microfoundations | Dynamic capability & Digitalization,1.0
Emerging Concept,strategic aggressiveness,4,4,1,0.7051723666497914,0.6717194098920964,0.762254738748234,1.0,Dynamic capability & Case study | ESG performance & Digital Technology | ESG performance & Firm performance,0.8
Emerging Concept,common language,4,4,1,0.6534050976736143,0.5974760032696875,0.7,1.0,Digital Technology & Internationalization | Digital capabilities & Dynamic capability | Dynamic capability & Digitalization | Dynamic managerial capabilities & Innovation,0.8
Conceptual Combination,dynamic capabilities x industry 4.0,4,4,1,0.6487274926896223,0.6262274926896223,0.6562274926896223,12.0,Digitalization & Dynamic capability | Digitalization & Microfoundations | Dynamic capability & Case study,0.8
