Title,Abstract,Author Keywords,Year,Cited by,DOI,Authors,Source title,EID
Impact of digital finance on financial inclusion and stability,"This article provides a discussion on some issues associated with digital finance – an area which has not been critically addressed in the literature. Digital finance and financial inclusion has several benefits to financial services users, digital finance providers, governments and the economy; notwithstanding, a number of issues still persist which if addressed can make digital finance work better for individuals, businesses and governments. The digital finance issues discussed in this article are relevant for the on-going debate and country-level projects directed at greater financial inclusion via digital finance in developing and emerging economies.",Digital finance; Financial inclusion; Financial institutions; Financial risk; Financial stability; Fintech,2018,1495,10.1016/j.bir.2017.12.003,Ozili P.K.,Borsa Istanbul Review,2-s2.0-85044613529
Blockchain disruption and decentralized finance: The rise of decentralized business models,"Blockchain technology can reduce transaction costs, generate distributed trust, and empower decentralized platforms, potentially becoming a new foundation for decentralized business models. In the financial industry, blockchain technology allows for the rise of decentralized financial services, which tend to be more decentralized, innovative, interoperable, borderless, and transparent. Empowered by blockchain technology, decentralized financial services have the potential to broaden financial inclusion, facilitate open access, encourage permissionless innovation, and create new opportunities for entrepreneurs and innovators. In this article, we assess the benefits of decentralized finance, identify existing business models, and evaluate potential challenges and limits. As a new area of financial technology, decentralized finance may reshape the structure of modern finance and create a new landscape for entrepreneurship and innovation, showcasing the promises and challenges of decentralized business models.",Blockchain; Decentralization; Decentralized finance; Decentralized platform; FinTech,2020,649,10.1016/j.jbvi.2019.e00151,Chen Y.,Journal of Business Venturing Insights,2-s2.0-85075120827
"Sustainability, FinTech and Financial Inclusion","We argue financial technology (FinTech) is the key driver for financial inclusion, which in turn underlies sustainable balanced development, as embodied in the UN Sustainable Development Goals (SDGs). The full potential of FinTech to support the SDGs may be realized with a progressive approach to the development of underlying infrastructure to support digital financial transformation. Our research suggests that the best way to think about such a strategy is to focus on four primary pillars. The first pillar requires the building of digital identity, simplified account opening and e-KYC systems, supported by the second pillar of open interoperable electronic payments systems. The third pillar involves using the infrastructure of the first and second pillars to underpin electronic provision of government services and payments. The fourth pillar—design of digital financial markets and systems—supports broader access to finance and investment. Implementing the four pillars is a major journey for any economy, but one which has tremendous potential to transform not only finance but economies and societies, through FinTech, financial inclusion and sustainable balanced development.",e-KYC; Electronic payment infrastructure; Financial inclusion; FinTech; RegTech; Sustainability; Sustainable development goals; Sustainable investment,2020,631,10.1007/s40804-020-00183-y,Arner D.W.,European Business Organization Law Review,2-s2.0-85082754210
"Fintech, financial inclusion and income inequality: a quantile regression approach","Although theory suggests that financial market imperfections–mainly information asymmetries, market segmentation and transaction costs–prevent poor people from escaping poverty by limiting their access to formal financial services, new financial technologies (FinTech) are seen as key enablers of financial inclusion. Indeed, the UN 2030 Agenda for Sustainable Development (UN-2030-ASD) and the G20 High-Level Principles for Digital Financial Inclusion (G20-HLP-DFI) highlight the importance of harnessing the potential of FinTech to reduce financial exclusion and income inequality. This paper investigates the interrelationship between FinTech, financial inclusion and income inequality for a panel of 140 countries using the Global Findex waves of survey data for 2011, 2014 and 2017. We posit that FinTech affects inequality directly and indirectly through financial inclusion. We invoke quantile regression analysis to investigate whether such effects differ across countries with different levels of income inequality. We uncover new evidence that financial inclusion is a key channel through which FinTech reduces income inequality. We also find that while financial inclusion significantly reduces inequality at all quantiles of the inequality distribution, these effects are primarily associated with higher-income countries. Overall, our results support the aspirations of the UN-2030-ASD and G20-HLP-DFI. Highlights Harnessing the potential of FinTech to reduce financial exclusion and income inequality has been proposed by the UN and G20. We posit that FinTech affects income inequality directly and indirectly through financial inclusion. We invoke quantile regression analysis to investigate whether the effects of FinTech differ across countries with different levels of income inequality. We find that financial inclusion is a key channel through which FinTech reduces income inequality, at all quantile levels, primarily among higher-income countries.",financial inclusion; FinTech; income inequality; quantile regression,2022,627,10.1080/1351847X.2020.1772335,Demir A.,European Journal of Finance,2-s2.0-85087048353
Industry 4.0 in finance: the impact of artificial intelligence (ai) on digital financial inclusion,"This study sought to investigate the impact of AI on digital financial inclusion. Digital financial inclusion is becoming central in the debate on how to ensure that people who are at the lower levels of the pyramid become financially active. Fintech companies are using AI and its various applications to ensure that the goal of digital financial inclusion is realized that is to ensure that low-income earners, the poor, women, youths, small businesses participate in the mainstream financial market. This study used conceptual and documentary analysis of peer-reviewed journals, reports and other authoritative documents on AI and digital financial inclusion to assess the impact of AI on digital financial inclusion. The present study discovered that AI has a strong influence on digital financial inclusion in areas related to risk detection, measurement and management, addressing the problem of information asymmetry, availing customer support and helpdesk through chatbots and fraud detection and cybersecurity. Therefore, it is recommended that financial institutions and non-financial institutions and governments across the world adopt and scale up the use of AI tools and applications as they present benefits in the quest to ensure that the vulnerable groups of people who are not financially active do participate in the formal financial market with minimum challenges and maximum benefits.",Artificial intelligence; Digital financial inclusion; Finance; Industry 4.0,2020,473,10.3390/ijfs8030045,Mhlanga D.,International Journal of Financial Studies,2-s2.0-85089602698
Does bank FinTech reduce credit risk? Evidence from China,"Using data from Chinese commercial banks between 2008 and 2017, this paper explores the effects of bank FinTech on credit risk. We first construct and measure a bank FinTech index using web crawler technology and word frequency analysis. The results show that the development of bank FinTech is faster in state-owned banks than in other banks. Moreover, among the five subareas of bank FinTech, the development of internet technology is ahead of artificial intelligence technology, blockchain technology, cloud computing technology, and big data technology. Then, the impacts of bank FinTech on credit risk are examined. We find that bank FinTech significantly reduces credit risk in Chinese commercial banks, and further analyses show that the negative effects of bank FinTech on credit risk are relatively weak among large banks, state-owned banks, and listed banks.",Bank FinTech; China; Commercial banks; Credit risk,2020,424,10.1016/j.pacfin.2020.101398,Cheng M.,Pacific Basin Finance Journal,2-s2.0-85089013293
Explainable Machine Learning in Credit Risk Management,"The paper proposes an explainable Artificial Intelligence model that can be used in credit risk management and, in particular, in measuring the risks that arise when credit is borrowed employing peer to peer lending platforms. The model applies correlation networks to Shapley values so that Artificial Intelligence predictions are grouped according to the similarity in the underlying explanations. The empirical analysis of 15,000 small and medium companies asking for credit reveals that both risky and not risky borrowers can be grouped according to a set of similar financial characteristics, which can be employed to explain their credit score and, therefore, to predict their future behaviour.",Credit risk management; Explainable AI; Financial technologies; Similarity networks,2021,397,10.1007/s10614-020-10042-0,Bussmann N.,Computational Economics,2-s2.0-85091518212
Financial inclusion research around the world: A review,"This paper provides a comprehensive review of the recent evidence on financial inclusion from all the regions of the World. It identifies the emerging themes in the financial inclusion literature as well as some controversy in policy circles regarding financial inclusion. In particular, I draw attention to some issues such as optimal financial inclusion, extreme financial inclusion, how financial inclusion can transmit systemic risks to the formal financial sector, and whether financial inclusion and exclusion are pro-cyclical with changes in the economic cycle. The key findings in this review indicate that financial inclusion affects, and is influenced by, the level of financial innovation, poverty-levels, the stability of the financial sector, the state of the economy, financial literacy, and regulatory frameworks which differ across countries. Finally, the issues discussed in this paper opens up several avenues for future research.",controversy; digital finance; economic cycle; financial inclusion; financial institutions; financial stability; financial technology; Fintech; poverty reduction; systemic risk,2021,394,10.1080/07360932.2020.1715238,Ozili P.K.,Forum for Social Economics,2-s2.0-85078471678
The rise of digital finance: Financial inclusion or debt trap?,"This study focuses on the impact of digital finance on households. While digital finance has brought financial inclusion, it has also increased the risk of households falling into a debt trap. We provide evidence that supports this notion and explain the channel through which digital finance increases the likelihood of financial distress. Our results show that the widespread use of digital finance increases credit market participation. The broadened access to credit markets increases household consumption by changing the marginal propensity to consume. However, the easier access to credit markets also increases the risk of households falling into a debt trap.",Debt trap; Digital financial literacy; Digital lending; Financial inclusion; Fintech,2022,391,10.1016/j.frl.2021.102604,Yue P.,Finance Research Letters,2-s2.0-85122276865
Unearthing antecedents to financial inclusion through FinTech innovations,"Fintech innovations are enabling access to financial services through mobile devices for many unbanked in the world. Though fintech innovations are touted as game changers in deepening financial inclusion, their wide acceptance and use still remain limited. In the extant literature, technological and behavioural antecedents that influence users’ behaviour toward financial technologies are not fully understood. This study argues that understanding antecedents to the actual use of fintech innovations will lead to deepening financial inclusion. Using mobile money—a type of fintech innovation, this study adopts the Unified Theory of Acceptance and Use of Technology 2 (UTAUT2) and the Prospect theory. Drawing on survey data collected from 294 respondents, this study applies the partial least square structural equation modelling technique. The findings show that performance and effort expectancy have significant relationship with the intention to use mobile money services. However, contrary to well-established positions, price value, hedonic motivation, social influence and perceived risk do not influence intention and use of mobile money services. The study makes significant theoretical contributions and offers practical and policy implications for deepening financial inclusion.",Antecedents; Financial inclusion; FinTech; Mobile money; Prospect theory; SEM; UTAUT2,2020,345,10.1016/j.technovation.2020.102155,Senyo P.K.,Technovation,2-s2.0-85086730126
