title,abstract,author_keywords,keywords_normalized,combined_text,year,citations,doi,authors,source,eid,query_distance,rank
Does bank FinTech reduce credit risk? Evidence from China,"Using data from Chinese commercial banks between 2008 and 2017, this paper explores the effects of bank FinTech on credit risk. We first construct and measure a bank FinTech index using web crawler technology and word frequency analysis. The results show that the development of bank FinTech is faster in state-owned banks than in other banks. Moreover, among the five subareas of bank FinTech, the development of internet technology is ahead of artificial intelligence technology, blockchain technology, cloud computing technology, and big data technology. Then, the impacts of bank FinTech on credit risk are examined. We find that bank FinTech significantly reduces credit risk in Chinese commercial banks, and further analyses show that the negative effects of bank FinTech on credit risk are relatively weak among large banks, state-owned banks, and listed banks.","['Bank FinTech', 'China', 'Commercial banks', 'Credit risk']","['bank fintech', 'china', 'commercial banks', 'credit risk']","Does bank FinTech reduce credit risk? Evidence from China Using data from Chinese commercial banks between 2008 and 2017, this paper explores the effects of bank FinTech on credit risk. We first construct and measure a bank FinTech index using web crawler technology and word frequency analysis. The results show that the development of bank FinTech is faster in state-owned banks than in other banks. Moreover, among the five subareas of bank FinTech, the development of internet technology is ahead of artificial intelligence technology, blockchain technology, cloud computing technology, and big data technology. Then, the impacts of bank FinTech on credit risk are examined. We find that bank FinTech significantly reduces credit risk in Chinese commercial banks, and further analyses show that the negative effects of bank FinTech on credit risk are relatively weak among large banks, state-owned banks, and listed banks.",2020,424,10.1016/j.pacfin.2020.101398,Cheng M.,Pacific Basin Finance Journal,2-s2.0-85089013293,0.25696099164587505,1
Upstarts vs incumbents: the interaction between fintech credit and bank lending in Sub-Saharan Africa,"This study analyzes how fintech credit affects bank lending in Sub-Saharan Africa (SSA) and how this relationship is influenced by financial inclusion measured by bank branch networks. We utilized the system GMM to examine data spanning 19 SSA economies from 2013 to 2019. This study finds that fintech credit has a mixed effect on bank lending in SSA, depending on how it is measured. When fintech is measured by total alternative credit (fintech and Bigtech credit), there is a negative and significant relationship between Fintech and bank lending in SSA economies, suggesting that some borrowers are shifting towards fintech options. However, we observe a positive and significant relationship when we focus solely on fintech credit, suggesting that fintech can complement traditional bank lending, potentially by expanding access to financial services. Furthermore, this study underscores the importance of the presence of physical banks. Fintech lending growth has a negative net effect on bank lending when traditional banks reduce their branch network. This suggests that physical branches remain crucial for financial inclusion, particularly in areas with a limited digital infrastructure. These insights offer valuable guidance for policymakers and industry leaders seeking to promote financial inclusion and stability in SSA’s evolving financial landscape.","['alternative credit', 'bank lending', 'Banking', 'Bigtech credit', 'Development Economics', 'Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland', 'Economics', 'Finance', 'financial inclusion', 'Fintech credit', 'Sub-Saharan Africa', 'system GMM']","['alternative credit', 'bank lending', 'banking', 'bigtech credit', 'development economics', 'dr david mcmillan, university of stirling, united kingdom of great britain and northern ireland', 'economics', 'finance', 'financial inclusion', 'fintech credit', 'sub-saharan africa', 'system gmm']","Upstarts vs incumbents: the interaction between fintech credit and bank lending in Sub-Saharan Africa This study analyzes how fintech credit affects bank lending in Sub-Saharan Africa (SSA) and how this relationship is influenced by financial inclusion measured by bank branch networks. We utilized the system GMM to examine data spanning 19 SSA economies from 2013 to 2019. This study finds that fintech credit has a mixed effect on bank lending in SSA, depending on how it is measured. When fintech is measured by total alternative credit (fintech and Bigtech credit), there is a negative and significant relationship between Fintech and bank lending in SSA economies, suggesting that some borrowers are shifting towards fintech options. However, we observe a positive and significant relationship when we focus solely on fintech credit, suggesting that fintech can complement traditional bank lending, potentially by expanding access to financial services. Furthermore, this study underscores the importance of the presence of physical banks. Fintech lending growth has a negative net effect on bank lending when traditional banks reduce their branch network. This suggests that physical branches remain crucial for financial inclusion, particularly in areas with a limited digital infrastructure. These insights offer valuable guidance for policymakers and industry leaders seeking to promote financial inclusion and stability in SSA’s evolving financial landscape.",2024,5,10.1080/23322039.2024.2375643,Mashamba T.,Cogent Economics and Finance,2-s2.0-85198737454,0.2660466520379283,2
Bank FinTech and credit risk: comparison of selected emerging and developed countries,"Purpose – This paper aims to explore FinTech’s global impact in 40 countries, including the top 20 developing and developed nations, investigates FinTech’s complicated effects in emerging and mature economies, considering bank-specific characteristics, macroeconomic variables, market rivalry and technology. Design/methodology/approach – Fixed effect regression is used to examine the baseline model before adding the efficient generalized method of moments (GMM) model to resolve endogeneity-induced biases. The panel regression model requires an efficient GMM estimate and a linear panel model with non-linear moment conditions. This research also uses a sequential test for multiple breaks at unknown breakpoints, comparing F-statistics to critical values at various significance levels. Findings – The results show that NPL is substantially affected by prior NPL, with the preceding period’s greater NPL raising it and the two periods before decreasing it. Digital lending (DL) proportionally raises NPLs. Innovation-driven emerging countries have more NPLs and faster FinTech growth due to rapid adoption beyond restrictions. Rapid FinTech advances require stronger regulation for financial inclusion and economic progress in developing countries. Additionally, DL usage has remained steady due to gradual technology adoption, while digital capital raising has consistently grown, showing resilience to market shocks. Research limitations/implications – Due to FinTech’s quick innovation and legislative changes, conclusions should be applied cautiously. There may be gaps in the study on varied settings and long-term effects. Practical implications – FinTech credit expansion globally drives central banks and authorities to monitor economic conditions, advise monetary policies and resolve competitive and regulatory arbitrage concerns. Studies show digital banking’s reach into underprivileged communities helps mortgage financing. Financial firms using FinTech for credit risk management show a dedication to risk assessment and decision-making. The practical effects show that FinTech adoption, credit risk and financial inclusion have pros and cons in different economic circumstances. Social implications – As central authorities use FinTech data for policy decisions, there’s potential for enhanced financial inclusion, fostering social equity and empowerment. In economies with high financial exclusion, FinTech development becomes a catalyst for broader access to financial services. However, concerns about FinTech’s correlation with traditional banks underscore the need for robust regulatory frameworks to ensure fair competition and consumer protection. Striking a balanced approach to FinTech adoption can lead to a more inclusive financial landscape, positively impacting individuals and communities traditionally underserved by conventional banking systems. Originality/value – This research stands out in its comprehensive exploration of FinTech effect to the bank credit risk, delving into economic, regulatory and societal aspects. The focus on global FinTech credit expansion uniquely highlights the interconnected roles of central banks, regulatory authorities and financial institutions, outlining potential risks and benefits. The study’s nuanced analysis of FinTech’s impact on credit risk and financial inclusion provides distinctive insights, stressing the need for balanced adoption to foster inclusive economic growth. In essence, this research brings an original perspective to the intricate interplay between FinTech and global financial dynamics.","['Bank credit risk', 'Bank FinTech', 'FinTech', 'Responsible finance', 'Sustainable finance']","['bank credit risk', 'bank fintech', 'fintech', 'responsible finance', 'sustainable finance']","Bank FinTech and credit risk: comparison of selected emerging and developed countries Purpose – This paper aims to explore FinTech’s global impact in 40 countries, including the top 20 developing and developed nations, investigates FinTech’s complicated effects in emerging and mature economies, considering bank-specific characteristics, macroeconomic variables, market rivalry and technology. Design/methodology/approach – Fixed effect regression is used to examine the baseline model before adding the efficient generalized method of moments (GMM) model to resolve endogeneity-induced biases. The panel regression model requires an efficient GMM estimate and a linear panel model with non-linear moment conditions. This research also uses a sequential test for multiple breaks at unknown breakpoints, comparing F-statistics to critical values at various significance levels. Findings – The results show that NPL is substantially affected by prior NPL, with the preceding period’s greater NPL raising it and the two periods before decreasing it. Digital lending (DL) proportionally raises NPLs. Innovation-driven emerging countries have more NPLs and faster FinTech growth due to rapid adoption beyond restrictions. Rapid FinTech advances require stronger regulation for financial inclusion and economic progress in developing countries. Additionally, DL usage has remained steady due to gradual technology adoption, while digital capital raising has consistently grown, showing resilience to market shocks. Research limitations/implications – Due to FinTech’s quick innovation and legislative changes, conclusions should be applied cautiously. There may be gaps in the study on varied settings and long-term effects. Practical implications – FinTech credit expansion globally drives central banks and authorities to monitor economic conditions, advise monetary policies and resolve competitive and regulatory arbitrage concerns. Studies show digital banking’s reach into underprivileged communities helps mortgage financing. Financial firms using FinTech for credit risk management show a dedication to risk assessment and decision-making. The practical effects show that FinTech adoption, credit risk and financial inclusion have pros and cons in different economic circumstances. Social implications – As central authorities use FinTech data for policy decisions, there’s potential for enhanced financial inclusion, fostering social equity and empowerment. In economies with high financial exclusion, FinTech development becomes a catalyst for broader access to financial services. However, concerns about FinTech’s correlation with traditional banks underscore the need for robust regulatory frameworks to ensure fair competition and consumer protection. Striking a balanced approach to FinTech adoption can lead to a more inclusive financial landscape, positively impacting individuals and communities traditionally underserved by conventional banking systems. Originality/value – This research stands out in its comprehensive exploration of FinTech effect to the bank credit risk, delving into economic, regulatory and societal aspects. The focus on global FinTech credit expansion uniquely highlights the interconnected roles of central banks, regulatory authorities and financial institutions, outlining potential risks and benefits. The study’s nuanced analysis of FinTech’s impact on credit risk and financial inclusion provides distinctive insights, stressing the need for balanced adoption to foster inclusive economic growth. In essence, this research brings an original perspective to the intricate interplay between FinTech and global financial dynamics.",2026,13,10.1108/SEF-12-2023-0714,Anestiawati C.A.,Studies in Economics and Finance,2-s2.0-85217010019,0.27024104349723355,3
Bridging the gap? A theoretical analysis of the net effect of FinTech entry on access to credit,"FinTech lenders offer an opportunity to enhance credit access but may also disrupt traditional banking. This study proposes a theoretical framework for analyzing the net impact of FinTech's entry on access to credit in credit markets dominated by conventional banks. When a FinTech lender enters the market, competition intensifies, which reduces the bank's gain in serving certain customer segments. While FinTech lending can help serve some unattended niches, it may cause the bank to abandon others, leading to an ambiguous or even negative impact on access to credit.","['Economic growth', 'Financial inclusion', 'Financial stability', 'FinTech', 'Regulatory arbitrage', 'Soft information']","['economic growth', 'financial inclusion', 'financial stability', 'fintech', 'regulatory arbitrage', 'soft information']","Bridging the gap? A theoretical analysis of the net effect of FinTech entry on access to credit FinTech lenders offer an opportunity to enhance credit access but may also disrupt traditional banking. This study proposes a theoretical framework for analyzing the net impact of FinTech's entry on access to credit in credit markets dominated by conventional banks. When a FinTech lender enters the market, competition intensifies, which reduces the bank's gain in serving certain customer segments. While FinTech lending can help serve some unattended niches, it may cause the bank to abandon others, leading to an ambiguous or even negative impact on access to credit.",2024,4,10.1016/j.frl.2024.105918,Gisbert J.,Finance Research Letters,2-s2.0-85203417237,0.27563946009269025,4
The role of bank–FinTech partnerships in creating a more inclusive banking system,"FinTech firms are often viewed as competing with banks. Instead, more recently, there has been increased partnership and collaboration between FinTech firms and banks. These partnerships have allowed banks to access more information on consumers through data aggregation, artificial intelligence/machine learning (AI/ML) and other tools. This paper explores explore the demographics of consumers targeted by banks that have entered into such partnerships. Specifically, the paper tests whether banks are more likely to extend credit offers (by mail) and/or credit originations to consumers who would have otherwise been deemed high risk, either because of low credit scores or lack of credit scores altogether. The paper uses data on credit offers based on a survey conducted by Mintel, as well as data on credit originations based on the Federal Reserve’s Y-14M reports. Additionally, the paper analyses a unique data set of partnerships between FinTech firms and banks compiled by CB Insights to identify the relevant partnerships. The paper concludes that banks are more likely to offer credit cards and personal loans (and grant larger credit limits) to the credit-invisible and below-prime consumers after the FinTech partnership period. Similarly, it finds that FinTech partnerships result in banks being more likely to originate mortgage loans (and grant larger loan amount) to nonprime homebuyers. Overall, the paper concludes that bank/FinTech partnerships could help to move towards a more inclusive financial system.","['alternative data', 'credit invisible', 'financial inclusion', 'FinTech', 'FinTech partnership']","['alternative data', 'credit invisible', 'financial inclusion', 'fintech', 'fintech partnership']","The role of bank–FinTech partnerships in creating a more inclusive banking system FinTech firms are often viewed as competing with banks. Instead, more recently, there has been increased partnership and collaboration between FinTech firms and banks. These partnerships have allowed banks to access more information on consumers through data aggregation, artificial intelligence/machine learning (AI/ML) and other tools. This paper explores explore the demographics of consumers targeted by banks that have entered into such partnerships. Specifically, the paper tests whether banks are more likely to extend credit offers (by mail) and/or credit originations to consumers who would have otherwise been deemed high risk, either because of low credit scores or lack of credit scores altogether. The paper uses data on credit offers based on a survey conducted by Mintel, as well as data on credit originations based on the Federal Reserve’s Y-14M reports. Additionally, the paper analyses a unique data set of partnerships between FinTech firms and banks compiled by CB Insights to identify the relevant partnerships. The paper concludes that banks are more likely to offer credit cards and personal loans (and grant larger credit limits) to the credit-invisible and below-prime consumers after the FinTech partnership period. Similarly, it finds that FinTech partnerships result in banks being more likely to originate mortgage loans (and grant larger loan amount) to nonprime homebuyers. Overall, the paper concludes that bank/FinTech partnerships could help to move towards a more inclusive financial system.",2024,15,10.21799/frbp.wp.2023.21,Chernoff A.,Journal of Digital Banking,2-s2.0-105043633052,0.28702285999306576,5
Banks' consumer lending reaction to fintech and bigtech credit emergence in the context of soft versus hard credit information processing,"Access to credit information and the ability to process this information effectively determine the conditions of competition in the credit market. Traditionally, local banks have had an advantage in relationship lending (based on soft credit information), whereas foreign banks are considered to base on hard credit information. With the advent of financial technology (or “fintech”) companies (or “fintechs”) and giant technology (or “bigtech”) companies (or “bigtechs”) providing alternative credit, the conditions of competition in the credit market have changed. In this empirical study, we shed light on the nature of the information advantages fintech and bigtech companies have compared to banks and how alternative lenders use them. We analyze competition in the consumer lending segment between banks and fintechs as well as bigtechs providing alternative lending. We used a database combining bank-level characteristics and country-level proxies for 72 countries from 2013 to 2018. We find that in developed markets, the relationships between fintech and bigtech credit providers and banks are similar and competitive in nature. However, banks' consumer lending grows simultaneously with fintech credit market development in emerging economies, but decreases in the aftermath of the emergence of bigtech credit. Fintech credit seems to penetrate market segments not serviced by banks; thus, it plays a complementary role, however only in emerging economies. Bigtech companies compete even more with banks and push some banking offers out of the market, both in emerging and developed economies. Furthermore, we show that domestic and privately-owned banks are more negatively affected by competition from technology-based lending, particularly bigtech, than foreign banks. Thus, bigtech lending may be treated as a serious competition for banks' relationship lending based on soft credit information processing, traditionally provisioned by local banks.","['Alternative credit', 'Bigtech', 'Competition', 'Financial inclusion', 'Fintech', 'Local banks', 'Relationship lending', 'Soft credit information']","['alternative credit', 'bigtech', 'competition', 'financial inclusion', 'fintech', 'local banks', 'relationship lending', 'soft credit information']","Banks' consumer lending reaction to fintech and bigtech credit emergence in the context of soft versus hard credit information processing Access to credit information and the ability to process this information effectively determine the conditions of competition in the credit market. Traditionally, local banks have had an advantage in relationship lending (based on soft credit information), whereas foreign banks are considered to base on hard credit information. With the advent of financial technology (or “fintech”) companies (or “fintechs”) and giant technology (or “bigtech”) companies (or “bigtechs”) providing alternative credit, the conditions of competition in the credit market have changed. In this empirical study, we shed light on the nature of the information advantages fintech and bigtech companies have compared to banks and how alternative lenders use them. We analyze competition in the consumer lending segment between banks and fintechs as well as bigtechs providing alternative lending. We used a database combining bank-level characteristics and country-level proxies for 72 countries from 2013 to 2018. We find that in developed markets, the relationships between fintech and bigtech credit providers and banks are similar and competitive in nature. However, banks' consumer lending grows simultaneously with fintech credit market development in emerging economies, but decreases in the aftermath of the emergence of bigtech credit. Fintech credit seems to penetrate market segments not serviced by banks; thus, it plays a complementary role, however only in emerging economies. Bigtech companies compete even more with banks and push some banking offers out of the market, both in emerging and developed economies. Furthermore, we show that domestic and privately-owned banks are more negatively affected by competition from technology-based lending, particularly bigtech, than foreign banks. Thus, bigtech lending may be treated as a serious competition for banks' relationship lending based on soft credit information processing, traditionally provisioned by local banks.",2022,41,10.1016/j.irfa.2022.102116,Kowalewski O.,International Review of Financial Analysis,2-s2.0-85126086741,0.28821842038162526,6
"Inclusive FinTech, open banking, and bank performance: evidence from China","Open banking is an emerging business model that is representative of FinTech. To explore whether inclusive FinTech can improve bank performance and identify the underlying mechanisms by which this occurs, we investigate a sample of Chinese commercial banks involved in open banking during 2011–2020. The results show that inclusive FinTech can improve bank performance by improving the bank’s lending rate and liability structure, and that this positive effect is more pronounced in national and rural banks. The results indicate that inclusive FinTech has the greatest impact among banks serving the largest population and those who are excluded from the traditional financial system, and that financial inclusion does not detract from bank performance. However, the results do not provide evidence that inclusive FinTech improves bank performance by reducing risk-taking, suggesting a greater need for inclusive FinTech to focus on risk management. This study adds empirical evidence regarding the role of inclusive FinTech in banks. To promote inclusive FinTech and bank performance, developing economies like China should strengthen digital financial innovations, focus on risk management, and promote cooperation under the open finance framework.","['Bank performance', 'FinTech', 'Inclusive finance', 'Open banking']","['bank performance', 'fintech', 'inclusive finance', 'open banking']","Inclusive FinTech, open banking, and bank performance: evidence from China Open banking is an emerging business model that is representative of FinTech. To explore whether inclusive FinTech can improve bank performance and identify the underlying mechanisms by which this occurs, we investigate a sample of Chinese commercial banks involved in open banking during 2011–2020. The results show that inclusive FinTech can improve bank performance by improving the bank’s lending rate and liability structure, and that this positive effect is more pronounced in national and rural banks. The results indicate that inclusive FinTech has the greatest impact among banks serving the largest population and those who are excluded from the traditional financial system, and that financial inclusion does not detract from bank performance. However, the results do not provide evidence that inclusive FinTech improves bank performance by reducing risk-taking, suggesting a greater need for inclusive FinTech to focus on risk management. This study adds empirical evidence regarding the role of inclusive FinTech in banks. To promote inclusive FinTech and bank performance, developing economies like China should strengthen digital financial innovations, focus on risk management, and promote cooperation under the open finance framework.",2024,17,10.1186/s40854-024-00679-3,Liu Z.,Financial Innovation,2-s2.0-85209713996,0.29153137985557576,7
Fintech's influence on green credit provision: Empirical evidence from China's listed banking sector,"We explore the impact of financial technology (fintech) advancements on green credit provision, investigating publicly traded banks in China from 2007 to 2022. We particularly focus on credit modelling innovation, examining the non-linear dynamics between fintech evolution and green credit distribution. Results reveal a positive U-shaped correlation. Initial stages of fintech are associated with increased green credit risk, negatively affecting the volume of green credit. However, more established fintech infrastructures significantly enhance green credit volumes by improving resource allocation and credit risk assessment. Utilizing a multiple linear regression approach, we highlight the transformative nature of fintech in advancing sustainable banking practices, particularly through innovations in credit modeling that enhance green credit risk management and resource allocation efficiency.","['Financial technology', 'Green credit expansion', 'Green credit risk', 'Resource allocation efficiency']","['financial technology', 'green credit expansion', 'green credit risk', 'resource allocation efficiency']","Fintech's influence on green credit provision: Empirical evidence from China's listed banking sector We explore the impact of financial technology (fintech) advancements on green credit provision, investigating publicly traded banks in China from 2007 to 2022. We particularly focus on credit modelling innovation, examining the non-linear dynamics between fintech evolution and green credit distribution. Results reveal a positive U-shaped correlation. Initial stages of fintech are associated with increased green credit risk, negatively affecting the volume of green credit. However, more established fintech infrastructures significantly enhance green credit volumes by improving resource allocation and credit risk assessment. Utilizing a multiple linear regression approach, we highlight the transformative nature of fintech in advancing sustainable banking practices, particularly through innovations in credit modeling that enhance green credit risk management and resource allocation efficiency.",2024,31,10.1016/j.ribaf.2024.102394,He Z.,Research in International Business and Finance,2-s2.0-85192699263,0.2932825808600892,8
DOES FINTECH AFFECT FINANCIAL INCLUSION IN BALKAN REGION COUNTRIES?,"In recent years, the technological revolution and proliferation of financial technology (fintech) have significantly transformed the financial services landscape, potentially addressing gaps in financial inclusion. Fintech is the key driver for financial inclusion (Arner et al., 2020). The purpose of this study is to investigate the effect of fintech on financial inclusion within the Balkan region countries. This research uses a comprehensive analysis of data from different Balkan countries to explore the impact of fintech on financial inclusion. The study uses various econometric models and regression analysis (fixed effects model) to assess the extent to which fintech affects access to banking services, credit availability, and overall financial inclusion within the Balkan region. Using fintech indicators and available global fintech data, we find that the proxy of fintech-digital payment has a positive correlation with financial inclusion in countries of the Balkan region. Findings from this research contribute valuable knowledge to policymakers, financial institutions, and researchers interested in promoting inclusive financial systems in the Balkan region through the strategic integration of fintech solutions.","['Artificial Intelligence', 'Banks', 'Digital Payment', 'Financial Inclusion', 'Fintech']","['artificial intelligence', 'banks', 'digital payment', 'financial inclusion', 'fintech']","DOES FINTECH AFFECT FINANCIAL INCLUSION IN BALKAN REGION COUNTRIES? In recent years, the technological revolution and proliferation of financial technology (fintech) have significantly transformed the financial services landscape, potentially addressing gaps in financial inclusion. Fintech is the key driver for financial inclusion (Arner et al., 2020). The purpose of this study is to investigate the effect of fintech on financial inclusion within the Balkan region countries. This research uses a comprehensive analysis of data from different Balkan countries to explore the impact of fintech on financial inclusion. The study uses various econometric models and regression analysis (fixed effects model) to assess the extent to which fintech affects access to banking services, credit availability, and overall financial inclusion within the Balkan region. Using fintech indicators and available global fintech data, we find that the proxy of fintech-digital payment has a positive correlation with financial inclusion in countries of the Balkan region. Findings from this research contribute valuable knowledge to policymakers, financial institutions, and researchers interested in promoting inclusive financial systems in the Balkan region through the strategic integration of fintech solutions.",2024,7,10.22495/jgrv13i1siart12,Miftari F.,Journal of Governance and Regulation,2-s2.0-85187668542,0.29507950880587064,9
The impact of digitalization on credit risk: the mediating role of financial inclusion (National Bank of Egypt (NBE) case study),"This article investigates potential direct and indirect impact of National Bank of Egypt (NBE) digitalization and its financial inclusion on credit risk. The methodology used in the study is an empirical technique through the collection of secondary data from the period between 2011 and 2021 in the Egyptian banking sector. To accomplish this, the study developed two hypotheses employing the empirical SEM model for testing whether there is a positive or negative impact for three chosen variables: digitalization, credit risk and financial inclusion. The investigational outcome shows that NBE digitalization has both direct and indirect impact through the mediator variable, financial inclusion. It also provides an understanding of the relationship between digitalization, credit and financial inclusion. The article proposes for future studies the impact of other Fintech factors directly and indirectly using the mediators on credit risk. The authors came up with many findings: first, financial inclusion indices can be built using portable money and banking services activities. Second, digitalization has a negative direct impact on credit risk. Also, digitalization has a positive indirect impact on credit risk through the mediator variable which is referred to as financial inclusion. Third, the model fit is adequate for the data being tested.","['credit risk', 'Digitalization', 'Egyptian banking sector', 'financial inclusion']","['credit risk', 'digitalization', 'egyptian banking sector', 'financial inclusion']","The impact of digitalization on credit risk: the mediating role of financial inclusion (National Bank of Egypt (NBE) case study) This article investigates potential direct and indirect impact of National Bank of Egypt (NBE) digitalization and its financial inclusion on credit risk. The methodology used in the study is an empirical technique through the collection of secondary data from the period between 2011 and 2021 in the Egyptian banking sector. To accomplish this, the study developed two hypotheses employing the empirical SEM model for testing whether there is a positive or negative impact for three chosen variables: digitalization, credit risk and financial inclusion. The investigational outcome shows that NBE digitalization has both direct and indirect impact through the mediator variable, financial inclusion. It also provides an understanding of the relationship between digitalization, credit and financial inclusion. The article proposes for future studies the impact of other Fintech factors directly and indirectly using the mediators on credit risk. The authors came up with many findings: first, financial inclusion indices can be built using portable money and banking services activities. Second, digitalization has a negative direct impact on credit risk. Also, digitalization has a positive indirect impact on credit risk through the mediator variable which is referred to as financial inclusion. Third, the model fit is adequate for the data being tested.",2023,10,10.1080/1331677X.2023.2178018,Metawa N.,Economic Research Ekonomska Istrazivanja,2-s2.0-85150623738,0.297670685994633,10
