Title,Abstract,Author Keywords,Year,Cited by,DOI,Authors,Source title,EID
Gamification in education: A systematic mapping study,"While gamification is gaining ground in business, marketing, corporate management, and wellness initiatives, its application in education is still an emerging trend. This article presents a study of the published empirical research on the application of gamification to education. The study is limited to papers that discuss explicitly the effects of using game elements in specific educational contexts. It employs a systematic mapping design. Accordingly, a categorical structure for classifying the research results is proposed based on the extracted topics discussed in the reviewed papers. The categories include gamification design principles, game mechanics, context of applying gamification (type of application, educational level, and academic subject), implementation, and evaluation. By mapping the published works to the classification criteria and analyzing them, the study highlights the directions of the currently conducted empirical research on applying gamification to education. It also indicates some major obstacles and needs, such as the need for proper technological support, for controlled studies demonstrating reliable positive or negative results of using specific game elements in particular educational contexts, etc. Although most of the reviewed papers report promising results, more substantial empirical research is needed to determine whether both extrinsic and intrinsic motivation of the learners can be influenced by gamification.",Game design elements; Gamification in education; Literature review; Systematic mapping study,2015,1543,,Dicheva D.,Educational Technology and Society,2-s2.0-84938082996
A definition for gamification: anchoring gamification in the service marketing literature,"“Gamification” has gained considerable scholarly and practitioner attention; however, the discussion in academia has been largely confined to the human–computer interaction and game studies domains. Since gamification is often used in service design, it is important that the concept be brought in line with the service literature. So far, though, there has been a dearth of such literature. This article is an attempt to tie in gamification with service marketing theory, which conceptualizes the consumer as a co-producer of the service. It presents games as service systems composed of operant and operand resources. It proposes a definition for gamification, one that emphasizes its experiential nature. The definition highlights four important aspects of gamification: affordances, psychological mediators, goals of gamification and the context of gamification. Using the definition the article identifies four possible gamifying actors and examines gamification as communicative staging of the service environment.",Game design; Gamification; Persuasive technologies; Service design; Service marketing; Service-dominant logic,2017,950,10.1007/s12525-015-0212-z,Huotari K.,Electronic Markets,2-s2.0-84954436369
Transforming homo economicus into homo ludens: A field experiment on gamification in a utilitarian peer-to-peer trading service,"During recent years, the addition of game mechanisms to non-game services has gained a relatively large amount of attention. Popular discussion connects gamification to successful marketing and increased profitability through higher customer engagement, however, there is a dearth of empirical studies that confirm such expectations. This paper reports the results of a field experiment, which gamifies a utilitarian peer-to-peer trading service by implementing the game mechanism of badges that users can earn from a variety of tasks. There were 3234 users who were randomly assigned to treatment groups and subjected to different versions of the badge system in a 2 × 2 design. The results show that the mere implementation of gamification mechanisms does not automatically lead to significant increases in use activity in the studied utilitarian service, however, those users who actively monitored their own badges and those of others in the study showed increased user activity. © 2013 Elsevier B.V. All rights reserved.",Badges; Collaborative consumption; Game design; Gamification; Service marketing; Social commerce,2013,626,10.1016/j.elerap.2013.01.004,Hamari J.,Electronic Commerce Research and Applications,2-s2.0-84883135229
Serious games and the gamification of tourism,"Gamification has become a focus of attention in an increasing number of fields including business, education, and health care. Through a wide range of applications and support functions, its potential for the tourism industry is significant. Gamification of tourism can contribute to a more rewarding interactions and higher level of satisfaction, as well as increase brand awareness and loyalty to the destination. As one of the first attempts to conceptualize gamification of tourism, this paper examines gaming in general terms and the application of it in specific tourism fields. It identifies game design elements that can contribute to a meaningful gamification. A few cases of best practices are presented to show how this innovative concept can benefit tourism marketing. Implications for tourism marketing and management are discussed as well as future research recommendations.",Engagement; Gamification; Loyalty; Serious games; Tourism experiences,2017,453,10.1016/j.tourman.2016.11.020,Xu F.,Tourism Management,2-s2.0-85006446603
Enhancing user engagement: The role of gamification in mobile apps,"Organizations are increasingly making use of gamification to enhance users’ engagement with their mobile apps. However, more research into the mechanisms that facilitate user engagement and its consequences is needed. Drawing on the self-system model of motivational development, this study investigates how gamification might foster user engagement and positive marketing outcomes. Data from 276 users of a mobile gamified app were analyzed using partial least squares regression. The results showed that gamification increases user engagement through satisfaction of the needs for competence, autonomy and relatedness. User engagement, in turn, leads to greater intention to use, disseminate WOM about, and to positively rate, the app. Finally, this study provides a number of theoretical and practical implications that can help developers design more effective gamified mobile apps.",Gamification; Mobile apps; Self-system model of motivational development; User engagement,2021,427,10.1016/j.jbusres.2021.04.028,Bitrián P.,Journal of Business Research,2-s2.0-85104742779
Gamification and Mobile Marketing Effectiveness,"A variety of business sectors have been buffeted by the diffusion of mobile technology, a trend that presents a variety of difficult challenges but interesting opportunities to marketers. One such opportunity is gamification, which, one hopes, will enhance appeal to mobile consumers. Our sense from both personal experience and the literature is that the gamified mobile apps currently offered by firms mostly miss the mark. We provide a systematic overview of game design and note how principles derived from that field are highly applicable to gamification in mobile marketing settings. We are aided by the work of Schell (2008), whose Elemental Game Tetrad Model allows us to offer a coherent look at how gamification should affect mobile marketing outcomes.",Aesthetics; Game design; Gamification; Gaming; Mechanics; Mobile; Retailing; Story; Technology,2016,408,10.1016/j.intmar.2016.03.001,Hofacker C.F.,Journal of Interactive Marketing,2-s2.0-84963723708
Examining the impact of gamification on intention of engagement and brand attitude in the marketing context,"The development of multiple applications with features of games has brought about a new trend – gamification. Gamification has become a fast-emerging practice in the business world, with a growing number of organizations adopting gaming techniques and game-style rewards in order to increase customer engagement. Despite this growing trend and the potential role played by gamification, the marketing literature lacks models that explain the use of gamification in the marketing context, customers’ perceptions of gamification and its effects on their attitudes towards the brand. This study addresses this omission by adopting the TAM framework in a gamification context. Similar to TAM, gamification finds its roots in the technology and information systems literature. Drawing on TAM, this study presents a model that examines the effects of gamification on customers’ intention to engage in the gamification process and their attitudes toward the brand. Using a quantitative methodology, the results provide empirical support for perceived usefulness and perceived enjoyment as predictors to intention of engagement and brand attitude. However, perceived ease of use was surprisingly found not to be significantly related to people's intention of engagement with the gamification process and their brand attitude. In addition, perceived social influence was found not to be related to people's intention of engagement, but was related to their brand attitude. The findings of this research have theory and practical implications.",Brand attitude; Engagement; Gamification; TAM,2017,407,10.1016/j.chb.2017.03.066,Yang Y.,Computers in Human Behavior,2-s2.0-85017144159
Does gamification affect brand engagement and equity? A study in online brand communities,"Gamification has become a popular technique in marketing. Many companies believe that gamification can potentially increase the engagement, awareness and loyalty of consumers with respect to the brand. However, there is current dearth of empirical evidence supporting these beliefs beyond the pervasive hype. In this study we investigated the relationships between gamification, brand engagement and brand equity among consumers (N = 824) of two online gamified brand communities. The results showed that achievement and social interaction -related gamification features were positively associated with all three forms of brand engagement (emotional, cognitive and social). Immersion -related gamification features were only positively associated with social brand engagement. Additionally, brand engagement was further positively associated with brand equity. The results imply that gamification can positively affect brand engagement and further increase brand equity, and that gamification appears to be an effective technique for brand management.",Brand; Community; Engagement; Gamification; Marketing; Social commerce,2020,382,10.1016/j.jbusres.2019.11.058,Xi N.,Journal of Business Research,2-s2.0-85077194682
"Gamification Science, Its History and Future: Definitions and a Research Agenda","Background. Definitions of gamification tend to vary by person, both in industry and within academia. One particularly popular lay interpretation, introduced and popularized by Ian Bogost, and reiterated by Jan Klabbers, is that gamification is “bullshit” and “exploitationware.” They describe gamification as a marketing term or business practice invented to sell products rather than to represent a real and unique phenomenon relevant to a nascent game science. However, this view is an oversimplification, one which ignores a growing body of theory development and empirical research on gamification within a post-positivist epistemology. In fact, because gamification is so much more outcome-focused than general game design, current gamification research in many ways has a stronger footing in modern social science than much games research does. Aim. In this article, to address common misunderstandings like these, we describe the philosophical underpinnings of modern gamification research, define the relationship between games and gamification, define and situate gamification science as a subdiscipline of game science, and explicate a six-element framework of major concerns within gamification science: predictor constructs, criterion constructs, mediator constructs, moderator constructs, design processes, and research methods. This framework is also presented diagrammatically as a causal path model. Conclusion. Gamification science refers to the development of theories of gamification design and their empirical evaluation within a post-positivist epistemology. The goal of gamification scientist-practitioners should be to understand how to best meet organizational goals through the design of gamification interventions, drawing upon insights derived from both gamification science and games research more broadly.",constructs; criteria; criterion; design; game; game science; gamification; gamification science; mediator; moderator; post-positivism; predictor; research methods; science; theory,2018,335,10.1177/1046878118774385,Landers R.N.,Simulation and Gaming,2-s2.0-85047400841
Gameful Experience in Gamification: Construction and Validation of a Gameful Experience Scale [GAMEX],"Gamification has recently become a popular topic in marketing practice. It is perceived as being a promising way to provide improved consumer experiences and to positively influence consumer behavior. An inherent characteristic of gamification is the gameful experience of consumers when using a gamified application. However, no existing measure captures the gameful experience consumers feel when they engage with gamified applications. Based on an extensive literature review and six consecutive studies, the authors develop and validate a new gameful experience scale [GAMEX] for measuring gameful experience in gamification. The results confirm that the GAMEX is a reliable and valid measure, which is useful for both, researchers and practitioners, and easy to apply in different gamification settings.",Game-like experience; Gameful experience; GAMEX; Gamification; Scale development,2018,320,10.1016/j.intmar.2018.03.002,Eppmann R.,Journal of Interactive Marketing,2-s2.0-85047652027
