title,abstract,author_keywords,keywords_normalized,combined_text,year,citations,doi,authors,source,eid,query_distance,rank
Building dynamic capabilities for digital transformation: An ongoing process of strategic renewal,"In this qualitative study, we explore how incumbent firms in traditional industries build dynamic capabilities for digital transformation. Digital transformation has been defined as the use of new digital technologies, such as mobile, artificial intelligence, cloud, blockchain, and the Internet of things (IoT) technologies, to enable major business improvements to augment customer experience, streamline operations, or create new business models. In making sense of digital transformation, we discovered that leaders in various industry circles use the term inconsistently to describe various strategizing and organizing activities; in addition, the term has gained limited scholarly attention as a context for study of strategic change. Drawing on senior executives' experiences with leading digitalization projects at incumbent firms, we propose a process model comprising of nine microfoundations to reveal the generic contingency factors that trigger, enable, and hinder the building of dynamic capabilities for digital transformation. Our findings reveal that digital transformation is an ongoing process of using new digital technologies in everyday organizational life, which recognizes agility as the core mechanism for the strategic renewal of an organization's (1) business model, (2) collaborative approach, and eventually the (3) culture.","['Digital transformation', 'Digitalization', 'Dynamic capabilities', 'Microfoundations', 'Qualitative interpretive research', 'Strategic agility', 'Strategic renewal', 'Technology and innovation management']","['digital transformation', 'digitalization', 'dynamic capabilities', 'microfoundations', 'qualitative interpretive research', 'strategic agility', 'strategic renewal', 'technology and innovation management']","Building dynamic capabilities for digital transformation: An ongoing process of strategic renewal In this qualitative study, we explore how incumbent firms in traditional industries build dynamic capabilities for digital transformation. Digital transformation has been defined as the use of new digital technologies, such as mobile, artificial intelligence, cloud, blockchain, and the Internet of things (IoT) technologies, to enable major business improvements to augment customer experience, streamline operations, or create new business models. In making sense of digital transformation, we discovered that leaders in various industry circles use the term inconsistently to describe various strategizing and organizing activities; in addition, the term has gained limited scholarly attention as a context for study of strategic change. Drawing on senior executives' experiences with leading digitalization projects at incumbent firms, we propose a process model comprising of nine microfoundations to reveal the generic contingency factors that trigger, enable, and hinder the building of dynamic capabilities for digital transformation. Our findings reveal that digital transformation is an ongoing process of using new digital technologies in everyday organizational life, which recognizes agility as the core mechanism for the strategic renewal of an organization's (1) business model, (2) collaborative approach, and eventually the (3) culture.",2019,2820,10.1016/j.lrp.2018.12.001,Warner K.S.R.,Long Range Planning,2-s2.0-85067622891,0.23314005113413439,1
Dynamic capabilities for digital transformation in an enterprise business,"Purpose: Digital transformation is a process in which organizations use technology as an essential resource to improve performance and increase market reach and results. Design/methodology/approach: This research aims to verify how dynamic capabilities are configured for the development of strategies and processes necessary for digital transformation. To this end, qualitative research of an exploratory nature was carried out, operationalized through in-depth individual interviews with a semi-structured approach with managers who occupy leadership positions, in addition to a documentary survey of the internal records of the analyzed organization. In data analysis, the content analysis technique was used. Findings: The main results of the research showed that the dynamic capabilities configured in sensing, seizing and reconfiguring contribute to leveraging digital transformation in the business studied through the reformulation of strategies to integrate and coordinate the implementation of new routines, investments in technological and human resources and actions to change culture with a focus on digital transformation considering the company’s stakeholders. Originality/value: This transformation affects business models, products, services and processes, as well as the review of strategies, organizational structures and management concepts.","['Digital transformation', 'Dynamic capabilities', 'Reconfiguring', 'Seizing', 'Sensing']","['digital transformation', 'dynamic capabilities', 'reconfiguring', 'seizing', 'sensing']","Dynamic capabilities for digital transformation in an enterprise business Purpose: Digital transformation is a process in which organizations use technology as an essential resource to improve performance and increase market reach and results. Design/methodology/approach: This research aims to verify how dynamic capabilities are configured for the development of strategies and processes necessary for digital transformation. To this end, qualitative research of an exploratory nature was carried out, operationalized through in-depth individual interviews with a semi-structured approach with managers who occupy leadership positions, in addition to a documentary survey of the internal records of the analyzed organization. In data analysis, the content analysis technique was used. Findings: The main results of the research showed that the dynamic capabilities configured in sensing, seizing and reconfiguring contribute to leveraging digital transformation in the business studied through the reformulation of strategies to integrate and coordinate the implementation of new routines, investments in technological and human resources and actions to change culture with a focus on digital transformation considering the company’s stakeholders. Originality/value: This transformation affects business models, products, services and processes, as well as the review of strategies, organizational structures and management concepts.",2025,40,10.1108/BIJ-12-2023-0864,Froehlich C.,Benchmarking,2-s2.0-85192247753,0.23989895728648902,2
The Antecedents and Outcomes of Dynamic Capabilities in Digital Transformation: A Study of Chinese Manufacturing Companies,"The rapid evolution of digital technologies has underscored the need for firms to develop robust digitalization capabilities to remain competitive in the global market. This study investigated the development of digitalization capabilities and their effects on digital technology adoption and internationalization in Chinese manufacturing. Additionally, the mediating role of digitalization capabilities in the relationship between commitment and knowledge development processes regarding digital technology adoption is examined. Using a survey of 322 respondents, the hypothesized model is tested via partial least squares structural equation modeling (SEM-PLS). Commitment and knowledge development processes significantly influence digitalization capabilities and digital technology adoption. Digitalization capabilities positively influence internationalization and mediate the relationship between commitment and knowledge development processes and digital technology adoption. Beyond advancing scholarly understanding of how specific dynamic capabilities facilitate technology adoption and international expansion, these findings provide key insights for policymakers and industry stakeholders. Policy measures that encourage firms’ commitments, support knowledge-development initiatives, and incentivize investments in digitalization capabilities can accelerate digital transformation in manufacturing. By integrating dynamic capabilities theory with the Uppsala model in an Industry 4.0 context, this study offers a novel contribution to the literature and provides the first empirical examination to combine these elements in Chinese manufacturing.","['Digital Technology', 'Digital Transformation', 'Dynamic Capabilities', 'Internationalization']","['digital technology', 'digital transformation', 'dynamic capabilities', 'internationalization']","The Antecedents and Outcomes of Dynamic Capabilities in Digital Transformation: A Study of Chinese Manufacturing Companies The rapid evolution of digital technologies has underscored the need for firms to develop robust digitalization capabilities to remain competitive in the global market. This study investigated the development of digitalization capabilities and their effects on digital technology adoption and internationalization in Chinese manufacturing. Additionally, the mediating role of digitalization capabilities in the relationship between commitment and knowledge development processes regarding digital technology adoption is examined. Using a survey of 322 respondents, the hypothesized model is tested via partial least squares structural equation modeling (SEM-PLS). Commitment and knowledge development processes significantly influence digitalization capabilities and digital technology adoption. Digitalization capabilities positively influence internationalization and mediate the relationship between commitment and knowledge development processes and digital technology adoption. Beyond advancing scholarly understanding of how specific dynamic capabilities facilitate technology adoption and international expansion, these findings provide key insights for policymakers and industry stakeholders. Policy measures that encourage firms’ commitments, support knowledge-development initiatives, and incentivize investments in digitalization capabilities can accelerate digital transformation in manufacturing. By integrating dynamic capabilities theory with the Uppsala model in an Industry 4.0 context, this study offers a novel contribution to the literature and provides the first empirical examination to combine these elements in Chinese manufacturing.",2026,4,10.1007/s13132-025-02689-7,Huang J.,Journal of the Knowledge Economy,2-s2.0-105031842180,0.24132130858665368,3
Digital transforming capability and performance: a microfoundational perspective,"Purpose: Drawing on the literature on dynamic capabilities and digital transformation, this paper conceptualises and investigates the relevant antecedents of an essential capability for digital transformation – the digital transforming capability – and its effect on the competitive advantage of firms. Design/methodology/approach: A framework with individual and organisational microfoundations of the digital transforming capability is proposed based on previous research. The digital transforming capability is conceptualised as a second-order construct. The model is tested using data from a broad spectrum of large US companies. Structural equation modelling (SEM) is applied to test the proposed framework. Findings: The study identifies three main microfoundations that, when combined, build a digital transforming capability (digital-savvy skills, digital intensity and context for action and interaction); in addition, the study tests the relationship between digital transforming capability and firm performance. The results validate the proposed theoretical framework. In addition to proposing relevant microfoundations of the digital transforming capability, we advance knowledge on the performance effects of those microfoundations. Originality/value: The paper contributes to advancing the understanding of the digital transformation phenomenon by revealing the role of the primary components underlying the digital transforming capability. Yet the mechanisms by which the micro-level aspects are important for digital transformation and organisational outcomes are only suggested by anecdotal evidence. The paper also contributes to ongoing calls for further investigation to extend the understanding of the microfoundations of dynamic capabilities. Finally, by drawing on archival data, this study also contributes to calls to broaden the toolkit used in dynamic capabilities research.","['Digital transformation', 'Dynamic capabilities', 'Firm performance']","['digital transformation', 'dynamic capabilities', 'firm performance']","Digital transforming capability and performance: a microfoundational perspective Purpose: Drawing on the literature on dynamic capabilities and digital transformation, this paper conceptualises and investigates the relevant antecedents of an essential capability for digital transformation – the digital transforming capability – and its effect on the competitive advantage of firms. Design/methodology/approach: A framework with individual and organisational microfoundations of the digital transforming capability is proposed based on previous research. The digital transforming capability is conceptualised as a second-order construct. The model is tested using data from a broad spectrum of large US companies. Structural equation modelling (SEM) is applied to test the proposed framework. Findings: The study identifies three main microfoundations that, when combined, build a digital transforming capability (digital-savvy skills, digital intensity and context for action and interaction); in addition, the study tests the relationship between digital transforming capability and firm performance. The results validate the proposed theoretical framework. In addition to proposing relevant microfoundations of the digital transforming capability, we advance knowledge on the performance effects of those microfoundations. Originality/value: The paper contributes to advancing the understanding of the digital transformation phenomenon by revealing the role of the primary components underlying the digital transforming capability. Yet the mechanisms by which the micro-level aspects are important for digital transformation and organisational outcomes are only suggested by anecdotal evidence. The paper also contributes to ongoing calls for further investigation to extend the understanding of the microfoundations of dynamic capabilities. Finally, by drawing on archival data, this study also contributes to calls to broaden the toolkit used in dynamic capabilities research.",2020,389,10.1108/IJOPM-06-2019-0444,Sousa-Zomer T.T.,International Journal of Operations and Production Management,2-s2.0-85085469906,0.2478340797464571,4
Microfoundations of dynamic capabilities for digital transformation,,"['Digital innovation management', 'Digital transformation', 'Dynamic capabilities', 'Microfoundations']","['digital innovation management', 'digital transformation', 'dynamic capabilities', 'microfoundations']",Microfoundations of dynamic capabilities for digital transformation,2025,54,10.1108/EJIM-12-2023-1074,Kowalski M.,European Journal of Innovation Management,2-s2.0-85195492127,0.2513405208876309,5
Dynamic capability reconstruction of digital transformation for emerging market enterprises: Learning from Chinese experience,"Digital transformation is a high-level transformation based on digital conversion and digital upgrading. The main focus of this paper is the role that dynamic capability plays in shaping digital transformation. Applying a single longitudinal case study design to a Chinese high-tech manufacturing company, this study reveals the ways in which dynamic capability promotes digital transformation. The result shows that six factors, including environmental perception, determination and courage of leaders, organisational remodelling, dual business controlling, strong executive power, and service upgrading, integrate to support the framework of dynamic capability and to promote digital transformation. This study contributes to the existing literature on both dynamic capability and digital transformation clearly illustrating how a firm's digital transformation can be achieved through reconstruction of its dynamic capabilities. The findings also provide some recommendations for management of manufacturing companies in emerging markets to carry out digital transformation more effectively.","['Case study', 'Digital transformation', 'Dynamic capability', 'Emerging market', 'Organisational remodelling']","['case study', 'digital transformation', 'dynamic capability', 'emerging market', 'organisational remodelling']","Dynamic capability reconstruction of digital transformation for emerging market enterprises: Learning from Chinese experience Digital transformation is a high-level transformation based on digital conversion and digital upgrading. The main focus of this paper is the role that dynamic capability plays in shaping digital transformation. Applying a single longitudinal case study design to a Chinese high-tech manufacturing company, this study reveals the ways in which dynamic capability promotes digital transformation. The result shows that six factors, including environmental perception, determination and courage of leaders, organisational remodelling, dual business controlling, strong executive power, and service upgrading, integrate to support the framework of dynamic capability and to promote digital transformation. This study contributes to the existing literature on both dynamic capability and digital transformation clearly illustrating how a firm's digital transformation can be achieved through reconstruction of its dynamic capabilities. The findings also provide some recommendations for management of manufacturing companies in emerging markets to carry out digital transformation more effectively.",2021,8,10.1504/IJTPM.2021.117780,Lan F.,International Journal of Technology Policy and Management,2-s2.0-85116069459,0.2523616800599213,6
Transform Me If You Can: Leveraging Dynamic Capabilities to Manage Digital Transformation,"This study sheds light on the relationships between digital transformation, business model, and process efficiency capabilities, and new product development (NPD) performance by employing a sequential explanatory approach, combining quantitative and qualitative research methodologies, utilizing structural equation modeling based on 430 questionnaire respondents, and a multiple case study design using four cases. The derived framework highlights that digital transformation does not directly lead to NPD performance but that organizations use idiosyncratic higher order (e.g., business model and process efficiency) capabilities that mediate this relationship to strategically cope with change. When assessing, reconfiguring, and integrating, organizations tap into internal and external value, individual, technological, and organizational (VITO) dimensions to transform operational capabilities and resources. Thus, higher order capabilities enable organizations to leverage firm-external opportunities to adjust intrafirm operational capabilities, resources, and competencies, emphasizing a complex hierarchical and contextual interplay. The contributions of the study are twofold: 1) we provide statistical evidence that the business model and process efficiency capabilities are coping mechanisms to master digital transformation and 2) the successful orchestration of VITO dimensions is essential for assessing, reconfiguring, and integrating resources, competencies, and operational capabilities to derive NPD performance.","['Digital transformation (DT)', 'dynamic capabilities', 'mixed method', 'multiple case study', 'new product development (NPD)', 'sequential explanatory approach', 'structural equation model']","['digital transformation (dt)', 'dynamic capabilities', 'mixed method', 'multiple case study', 'new product development (npd)', 'sequential explanatory approach', 'structural equation model']","Transform Me If You Can: Leveraging Dynamic Capabilities to Manage Digital Transformation This study sheds light on the relationships between digital transformation, business model, and process efficiency capabilities, and new product development (NPD) performance by employing a sequential explanatory approach, combining quantitative and qualitative research methodologies, utilizing structural equation modeling based on 430 questionnaire respondents, and a multiple case study design using four cases. The derived framework highlights that digital transformation does not directly lead to NPD performance but that organizations use idiosyncratic higher order (e.g., business model and process efficiency) capabilities that mediate this relationship to strategically cope with change. When assessing, reconfiguring, and integrating, organizations tap into internal and external value, individual, technological, and organizational (VITO) dimensions to transform operational capabilities and resources. Thus, higher order capabilities enable organizations to leverage firm-external opportunities to adjust intrafirm operational capabilities, resources, and competencies, emphasizing a complex hierarchical and contextual interplay. The contributions of the study are twofold: 1) we provide statistical evidence that the business model and process efficiency capabilities are coping mechanisms to master digital transformation and 2) the successful orchestration of VITO dimensions is essential for assessing, reconfiguring, and integrating resources, competencies, and operational capabilities to derive NPD performance.",2024,49,10.1109/TEM.2023.3319406,Schneider M.H.G.,IEEE Transactions on Engineering Management,2-s2.0-85174823448,0.2597305740869048,7
Digital transformation of industrial businesses: A dynamic capability approach,"Industrial firms are under severe pressure to undertake digital transformation and leverage the Industrial Internet of Things (IIoT) and emerging technologies for the integration of industrial machines to share information on a real-time or near real-time basis. Though in recent years researchers have focused their attention on digital transformation, there is limited scholarly guidance for developing capabilities for such transformation. Drawing on dynamic capability theory and exploratory qualitative interviews with senior ‘elite’ executives from five of the world's largest multinational firms, the study outlines a new conceptual framework for digital transformative capability development. The integrative framework demonstrates how the three core capabilities of digital sensing, digital seizing, and digital reconfiguring manifest through associated capabilities of Strategic Sensing, Rapid Prototyping, Organization Structure, Business Model Transformation, and Cultural/Mindset Transformation. Internal and external contingencies are proposed as moderators of the relationship between IIoT and emerging technologies, and digital transformative capability development. Collectively, the article makes the case for Digital Transformation Capability and sheds new light on the digital transformation process. Implications for theory and practice are highlighted, and limitations are discussed.","['Digital transformation', 'Dynamic capability', 'Emerging technologies', 'IIoT']","['digital transformation', 'dynamic capability', 'emerging technologies', 'iiot']","Digital transformation of industrial businesses: A dynamic capability approach Industrial firms are under severe pressure to undertake digital transformation and leverage the Industrial Internet of Things (IIoT) and emerging technologies for the integration of industrial machines to share information on a real-time or near real-time basis. Though in recent years researchers have focused their attention on digital transformation, there is limited scholarly guidance for developing capabilities for such transformation. Drawing on dynamic capability theory and exploratory qualitative interviews with senior ‘elite’ executives from five of the world's largest multinational firms, the study outlines a new conceptual framework for digital transformative capability development. The integrative framework demonstrates how the three core capabilities of digital sensing, digital seizing, and digital reconfiguring manifest through associated capabilities of Strategic Sensing, Rapid Prototyping, Organization Structure, Business Model Transformation, and Cultural/Mindset Transformation. Internal and external contingencies are proposed as moderators of the relationship between IIoT and emerging technologies, and digital transformative capability development. Collectively, the article makes the case for Digital Transformation Capability and sheds new light on the digital transformation process. Implications for theory and practice are highlighted, and limitations are discussed.",2022,523,10.1016/j.technovation.2021.102414,Ghosh S.,Technovation,2-s2.0-85119018010,0.26073570706396465,8
Digital transformation in family-owned Mittelstand firms: A dynamic capabilities perspective,"Digital technologies are increasingly affecting industries worldwide in many ways. Although the adoption of digital technologies by firms has been studied extensively from a technical point of view, previous research lacks insight into the managerial aspects of digital transformation, which, given the transformation’s interdisciplinarity, might have substantial implications for information systems research. In particular, it is unclear how small and medium-sized family-controlled firms (known as family-owned Mittelstand firms) with resource constraints handle digital transformation. This paper addresses this gap by drawing on rich data from 127 semi-structured interviews in a multiple case study of 15 family-owned Mittelstand firms from Germany, Austria, and Switzerland. All of these firms are active in the manufacturing industry but vary in terms of their digital transformation progress. Based on within-case and cross-case pattern analysis, we propose that the digital transformation of Mittelstand firms is a process consisting of three stages, namely, process digitalisation, product and service digitalisation, and business model digitalisation, and we reveal triggers for each stage and the dynamic capabilities needed throughout this process. Moreover, we identify three combinations of enablers and barriers that support or hinder the development of dynamic capabilities and thus accelerate or impede the advancement of the digital transformation process.","['digital innovation', 'Digital transformation', 'dynamic capabilities', 'family business', 'Mittelstand firms', 'Pär Ågerfalk', 'Ryad Titah', 'SMEs', 'technology adoption']","['digital innovation', 'digital transformation', 'dynamic capabilities', 'family business', 'mittelstand firms', 'pär ågerfalk', 'ryad titah', 'smes', 'technology adoption']","Digital transformation in family-owned Mittelstand firms: A dynamic capabilities perspective Digital technologies are increasingly affecting industries worldwide in many ways. Although the adoption of digital technologies by firms has been studied extensively from a technical point of view, previous research lacks insight into the managerial aspects of digital transformation, which, given the transformation’s interdisciplinarity, might have substantial implications for information systems research. In particular, it is unclear how small and medium-sized family-controlled firms (known as family-owned Mittelstand firms) with resource constraints handle digital transformation. This paper addresses this gap by drawing on rich data from 127 semi-structured interviews in a multiple case study of 15 family-owned Mittelstand firms from Germany, Austria, and Switzerland. All of these firms are active in the manufacturing industry but vary in terms of their digital transformation progress. Based on within-case and cross-case pattern analysis, we propose that the digital transformation of Mittelstand firms is a process consisting of three stages, namely, process digitalisation, product and service digitalisation, and business model digitalisation, and we reveal triggers for each stage and the dynamic capabilities needed throughout this process. Moreover, we identify three combinations of enablers and barriers that support or hinder the development of dynamic capabilities and thus accelerate or impede the advancement of the digital transformation process.",2021,372,10.1080/0960085X.2020.1857666,Soluk J.,European Journal of Information Systems,2-s2.0-85099577908,0.2633464939174799,9
Dynamic Capabilities and Digital Transformation: Toward Strategic Planning in the Digital Age—Evidence from Palestine,"The concept of digital maturity has gained prominence in the context of digital transformation. It refers to an organization’s ability to effectively adapt to changing environments using digital technologies. At the same time, the dynamic capabilities of an organization play a crucial role in maintaining a competitive advantage. These capabilities allow organizations to integrate, build, and reconfigure competencies in response to market dynamics. Despite empirical evidence supporting the impact of dynamic capabilities on competitive advantage, there remains a need to explore the specific mechanisms driving this relationship. Moreover, in traditional industries experiencing digital disruption, understanding digital maturity as an intermediate outcome becomes essential. This study focuses on the Palestinian financial sector and investigates the significance of digital maturity in the context of dynamic capabilities. Primary data were collected through an online questionnaire survey, and a model was estimated through a SEM-PLS methodology. The results highlight a strong relationship between dynamic capability and competitive advantage. Thus, digital maturity plays a crucial role in enhancing strategic planning efficiency through the implementation of dynamic capabilities.","['competitive advantage', 'digital maturity', 'digital transformation', 'dynamic capabilities', 'strategic planning']","['competitive advantage', 'digital maturity', 'digital transformation', 'dynamic capabilities', 'strategic planning']","Dynamic Capabilities and Digital Transformation: Toward Strategic Planning in the Digital Age—Evidence from Palestine The concept of digital maturity has gained prominence in the context of digital transformation. It refers to an organization’s ability to effectively adapt to changing environments using digital technologies. At the same time, the dynamic capabilities of an organization play a crucial role in maintaining a competitive advantage. These capabilities allow organizations to integrate, build, and reconfigure competencies in response to market dynamics. Despite empirical evidence supporting the impact of dynamic capabilities on competitive advantage, there remains a need to explore the specific mechanisms driving this relationship. Moreover, in traditional industries experiencing digital disruption, understanding digital maturity as an intermediate outcome becomes essential. This study focuses on the Palestinian financial sector and investigates the significance of digital maturity in the context of dynamic capabilities. Primary data were collected through an online questionnaire survey, and a model was estimated through a SEM-PLS methodology. The results highlight a strong relationship between dynamic capability and competitive advantage. Thus, digital maturity plays a crucial role in enhancing strategic planning efficiency through the implementation of dynamic capabilities.",2025,31,10.3390/admsci15010021,Alrub Y.A.,Administrative Sciences,2-s2.0-85216001963,0.26335529277469183,10
