corpus,mode,n_articles,k,n_keywords_in_space,n_gaps,n_emerging_concept,n_cross_cluster_concept,n_conceptual_combination,silhouette,candidates,jaccard_vs_n50,n_peripheral_keyword
management,articles_first,30,6,88,24,17.0,6.0,1.0,0.06904831057288104,business model | design thinking | digital culture | digital innovation | digital maturity | dynamic capability | emerging market | esg performance | financial performance | firm performance | firm performance x dynamic capability | human capital | innovation performance | manufacturing firms | operational efficiency | organizational resilience | pär ågerfalk | relational collaboration | ryad titah | social attention | strategic aggressiveness | technological innovation | technology disruption,0.2894736842105263,
management,articles_first,50,6,146,27,18.0,7.0,2.0,0.032569518633881835,agrifood businesses | automotive industry | business model | common language | competitive advantage | design thinking | digital innovation | digital leadership | dt vision | dynamic capabilities x industry 4.0 | dynamic capability x industry 4.0 | ecosystem orchestration | family firms | firm performance | human capital | industry 4.0 | it alignment | manufacturing firms | operational efficiency | organizational capabilities | process digitization | pär ågerfalk | ryad titah | social attention | steel industry | technological innovation,1.0,
management,articles_first,100,7,296,38,20.0,7.0,11.0,0.036090644174583686,agrifood businesses | business model | common language | complementary services | digital culture x innovation performance | digital innovation | digital leadership | dynamic capabilities x digital capabilities | dynamic capability | dynamic capability x design thinking | dynamic capability x digital capabilities | ecosystem strategy | emerging market | esg performance x dynamic capabilities | family firms | firm performance x competitive advantage | freight transportation | green innovation x dynamic capabilities | human–ai interaction | information system | innovation performance | innovation performance x it capabilities | innovation performance x organizational agility | leadership cognition | pär ågerfalk | response performance | ryad titah | social attention | social capital | social media | socio-technical adaptability | strategic aggressiveness | strategic agility x dynamic capability | technological innovation | technology adoption | technology adoption x industry 4.0,0.19230769230769232,
management,articles_first,150,4,440,28,12.0,4.0,12.0,0.0404397537754095,business model | digital innovation | digital transformation x digital orientation | digital transformation x innovation performance | dynamic capabilities x absorptive capacity | dynamic capabilities x digital orientation | dynamic capabilities x digital strategy | dynamic capabilities x firm performance | dynamic capabilities x innovation capabilities | dynamic capabilities x organisational agility | dynamic capability x organizational capabilities | esg performance x dynamic capabilities | exogenous shock | freight transportation | government policy | hong kong | human–ai interaction | market turbulence | msmes' performance | r&d intensity | ryad titah | social attention | strategic agility x dynamic capability | technology adoption x industry 4.0 | toe framework,0.0851063829787234,
management,keywords_first,30,6,88,5,,,,0.058840392740793356,design thinking | emerging market | pär ågerfalk | ryad titah | social attention,0.375,5.0
management,keywords_first,50,6,146,6,,,,0.05146225038468003,pär ågerfalk | relational collaboration | ryad titah | social attention | social capital | social media,1.0,6.0
management,keywords_first,100,5,296,6,,,,0.04626838041688789,digital seizing | freight transportation | multimedia mindset | organisational unlearning | organizational unlearning | ryad titah,0.09090909090909091,6.0
management,keywords_first,150,5,440,11,,,,0.03784896558940901,african banking | digital seizing | ecosystem orchestration | exogenous shock | freight transportation | information governance | multimedia mindset | ryad titah | technological diversity | value co-creation | visionary leadership,0.0625,11.0
finance,articles_first,30,6,105,24,18.0,6.0,,0.05248399589671972,alternative data | artificial intelligence | bank fintech | bank performance | banks’ risk-taking | bigtech credit | commercial banks | credit invisible | debt trap | digital lending | financial stability | financial sustainability | income inequality | non-financial firms | peer-to-peer lending | personal loans | regulatory arbitrage | social responsibilities | soft information | south asia | sub-saharan africa | system gmm,0.3055555555555556,
finance,articles_first,50,6,168,27,16.0,7.0,4.0,0.05498319279442902,alternative data | artificial intelligence | bank concentration | bank fintech | banks’ risk-taking | big tech | bigtech credit | black swan | commercial banks | commercial banks x financial inclusion | credit risk | credit risk x financial inclusion | credit risk x fintech credit | debt trap | digital lending | disadvantaged communities | financial innovation | financial technology x financial innovation | inclusive finance | output volatility | regulatory resources | risk-taking behavior | soft information | south asia | sub-saharan africa,1.0,
finance,articles_first,100,7,318,38,20.0,6.0,12.0,0.043322847625262825,bank fintech x financial inclusion | banks’ risk-taking | bank’s risk-taking | big tech | black swan | commercial banks x financial inclusion | covid-19 pandemic | credit card | credit risk x financial inclusion | digital lending | disadvantaged communities | ecosystem development | financial inclusion x fintech adoption | financial innovation x artificial intelligence | financial innovation x digital marketing | financial innovation x financial stability | financial literacy | financial services | financial stability x financial technology | financial technology x artificial intelligence | financial technology x digital transformation | fintech adoption x financial innovation | gdp growth | historical materialism | microfinance institutions x financial innovation | population growth | regulatory arbitrage | risk management | rural dwelling | soft information | sub-saharan africa | subsaharian africa | urban poor | vulnerable populations,0.18,
finance,articles_first,150,8,457,39,24.0,3.0,12.0,0.033801743728530995,artificial intelligence x financial technology | bank lending x credit risk | banks’ risk-taking | bank’s risk-taking | benin republic | big tech | black swan | carbon emissions | covid-19 pandemic | digital finance x financial literacy | digital immigrant | digital lending | digital lending x financial literacy | financial inclusion x credit risk | financial innovation x financial literacy | financial innovation x fintech adoption | financial stability x financial technology | financial technology x emerging economies | financial technology x financial performance | gdp growth | individual business | industrial structure | invoice lending | loan officer | p2p lending x financial technology | population growth | reverse socialisation | risk management | rural dwelling | rural population | small businesses | smes’ performance | social influence | spatial analysis | sub-saharan africa | sustainable finance x financial technology | umbrella review,0.08771929824561403,
finance,keywords_first,30,6,105,4,,,,0.06910086399814999,alternative information | digital inclusion | relationship lending | south asia,0.14285714285714285,4.0
finance,keywords_first,50,6,168,4,,,,0.050999050546188106,account ownership | digital economy | digital inclusion | social responsibilities,1.0,4.0
finance,keywords_first,100,4,318,7,,,,0.047158451758169885,account ownership | credit card | debit card | entrepreneurial risk | loan officer | regulatory arbitrage | rural dwelling,0.1,7.0
finance,keywords_first,150,4,457,8,,,,0.03615779137714876,benin republic | credit card | debit card | regulatory arbitrage | reverse socialisation | rural dwelling | south asia | subsaharian africa,0.0,8.0
gamification,articles_first,30,6,108,21,13.0,5.0,3.0,0.02706311810165454,brand engagement | brand engagement x brand attitude | brand loyalty x customer experience | consumer–brand engagement | customer engagement x brand attitude | customer experience | customer satisfaction | digital marketing | e-commerce platforms | environmental awareness | game design | gameful experience | gamification marketing | hedonic motivation | mobile apps | mobile communication | re-visit intention | social commerce | sustainability behavior | time poverty,0.35294117647058826,
gamification,articles_first,50,6,172,28,18.0,7.0,3.0,0.017273289234782597,ant forest | brand engagement | brand equity | brand love | brand loyalty x brand attitude | consumer behavior | consumer behaviour | consumer–brand engagement | customer engagement x brand attitude | customer engagement x gamification marketing | customer experience | digital marketing | e-commerce platforms | educational technology | environmental awareness | gamification marketing | location-based technology | mobile apps | mobile communication | psychological fear | purchasing decisions | service business | stealth marketing | sustainability behavior | time poverty | travel agencies,1.0,
gamification,articles_first,100,6,344,33,18.0,7.0,8.0,0.036164118866992744,augmented reality | brand engagement | brand engagement x brand attitude | brand love x customer experience | brand loyalty x customer experience | consumers’ benefits | consumer–brand engagement | csr attribution | customer engagement x brand attitude | customer engagement x consumer behavior | customer engagement x gamification marketing | customer engagement x gamified marketing | dietary preferences | educational technology | gamification marketing | gamified marketing | gourmet brands | hierarchical clustering | interdependent self-construal | mixed-method study | mobile apps | nutrition consciousness | peripheral region | psychological dimension | psychological fear | public health | rice matrix | self-determination theory | sensory experience | student incivility | technology acceptance x online shopping,0.16326530612244897,
gamification,articles_first,150,9,518,42,27.0,5.0,10.0,0.03867270978666614,ant forest | avatar anthropomorphism | beacon technologies | brand attitude x consumer engagement | brand attitude x customer engagement | brand engagement x gamified marketing | brand loyalty x online shopping | consumer behavior x customer engagement | consumers’ benefits | consumer–brand engagement | customer engagement x mobile app | customer engagement x online shopping | customer engagement x social marketing | derived demand | extrinsic motivation | financial well-being | firms’ competitiveness | gamification (gam) | gamification marketing | hierarchical clustering | human resources | instructional strategy | marketplace icon | mixed-method study | mobile apps x customer engagement | ott (over-the-top) | peripheral region | privacy concerns | psychological fear | rice matrix | self-determination theory | semantic analysis | sensory experience | social marketing x customer engagement | stealth marketing | student incivility | technology acceptance | time poverty,0.10344827586206896,
gamification,keywords_first,30,8,108,4,,,,0.10230807316201242,cognitive engagement | game elements | sustainable retail | time poverty,0.25,4.0
gamification,keywords_first,50,8,172,6,,,,0.06936243705438662,game elements | impulse buying | instructional strategy | marketing effectiveness | time poverty | user participation,1.0,6.0
gamification,keywords_first,100,4,344,10,,,,0.050557190437459286,advertisement intrusiveness | ant forest | cause-related marketing | gourmet brands | hierarchical clustering | nutrition consciousness | peripheral region | public health | rice matrix | tourist players,0.0,10.0
gamification,keywords_first,150,4,518,16,,,,0.04638243430455827,aras geopark | banking industry | dietary preferences | financial literacy | financial well-being | food packaging | gourmet brands | hierarchical clustering | in-game advertising | nutrition consciousness | peripheral region | rice matrix | student incivility | time poverty | tourism exposition | tourist inspiration,0.047619047619047616,16.0
