annotator,keyword_set,keyword,label,novelty,rationale
openai:gpt-4o,ELIGIBLE,absorptive capacity,GAP,5.0,"Absorptive capacity is relevant to understanding how firms leverage external knowledge for digital transformation, but requires further exploration in this specific context."
openai:gpt-4o,ELIGIBLE,change management,EXPLORED,2.0,Change management is a well-established area in strategic management literature.
openai:gpt-4o,ELIGIBLE,collaborative innovation,GAP,6.0,Collaborative innovation is important for digital transformation but needs more research on its role in dynamic capabilities.
openai:gpt-4o,ELIGIBLE,company performance,EXPLORED,2.0,Company performance is a broad and well-studied concept in strategic management.
openai:gpt-4o,ELIGIBLE,design capabilities,GAP,7.0,Design capabilities are less explored in the context of digital transformation and dynamic capabilities.
openai:gpt-4o,ELIGIBLE,differentiation strategy,GAP,3.0,Differentiation strategy is known but its interaction with digital transformation needs more specific research.
openai:gpt-4o,ELIGIBLE,digital barriers,GAP,8.0,Digital barriers are underexplored in the context of how they affect digital transformation in established firms.
openai:gpt-4o,ELIGIBLE,digital disruption,GAP,4.0,Digital disruption is a growing area of interest but requires more detailed study in relation to dynamic capabilities.
openai:gpt-4o,ELIGIBLE,digital literacy,GAP,5.0,Digital literacy is crucial for digital transformation but needs more research on its impact on firm performance.
openai:gpt-4o,ELIGIBLE,digital platforms,GAP,6.0,Digital platforms are increasingly important but their role in mediating digital transformation is not fully explored.
openai:gpt-4o,ELIGIBLE,digital technologies,EXPLORED,2.0,Digital technologies are a well-explored area in the context of digital transformation.
openai:gpt-4o,ELIGIBLE,digital technology,EXPLORED,2.0,"Digital technology, as a concept, is extensively covered in existing literature."
openai:gpt-4o,ELIGIBLE,disruptive innovation,GAP,3.0,Disruptive innovation is well-known but its specific mechanisms in digital transformation need further study.
openai:gpt-4o,ELIGIBLE,emerging market,GAP,4.0,Emerging markets present unique challenges and opportunities for digital transformation that are not fully understood.
openai:gpt-4o,ELIGIBLE,emerging technologies,GAP,5.0,Emerging technologies are relevant but require more research on their integration into established firms.
openai:gpt-4o,ELIGIBLE,enterprise agility,GAP,7.0,Enterprise agility is crucial for digital transformation but is underexplored in the context of dynamic capabilities.
openai:gpt-4o,ELIGIBLE,family business,GAP,3.0,Family businesses face unique challenges in digital transformation that are not extensively studied.
openai:gpt-4o,ELIGIBLE,financial performance,EXPLORED,2.0,Financial performance is a well-established area in strategic management literature.
openai:gpt-4o,ELIGIBLE,green innovation,GAP,4.0,Green innovation is gaining interest but its role in digital transformation is not fully explored.
