gap_type,keyword,keyword_display,cluster,cluster_label,score,frequency,n_articles,citations,rationale,article_titles,article_dois,metric_frequency_other_clusters,metric_presence_ratio,metric_tfidf,metric_distance_from_subcentroid,metric_distance_zscore,metric_centrality,metric_global_frequency,metric_similarity,metric_frequency_1,metric_frequency_2,metric_mean_tfidf
Conceptual Combination,customer engagement x brand attitude,Customer engagement x Brand attitude,3,Customer engagement & Engagement,0.6858672002027101,10,0,,semantically related (similarity=0.37) but never co-occurring; mean tfidf=0.0163,,,,,,,,,,0.37104126101833035,5.0,5.0,0.01634473046268191
Conceptual Combination,customer engagement x gamification marketing,Customer engagement x Gamification marketing,3,Customer engagement & Engagement,0.6553942845727283,7,0,,semantically related (similarity=0.47) but never co-occurring; mean tfidf=0.0195,,,,,,,,,,0.46646095846211033,5.0,2.0,0.019521017114138874
Conceptual Combination,brand loyalty x brand attitude,Brand loyalty x Brand attitude,3,Customer engagement & Engagement,0.6110528915149089,9,0,,semantically related (similarity=0.58) but never co-occurring; mean tfidf=0.0152,,,,,,,,,,0.5806762865198326,4.0,5.0,0.015197973576925
Cross-Cluster Concept,consumer–brand engagement,Consumer–brand engagement,1,Consumer behavior & gamification marketing,0.7929999999999999,1,1,29.0,"absent from cluster 1, present in 1 record(s) elsewhere (2.0% of corpus), tfidf=0.0528",How gamified branded applications drive marketing effectiveness?,10.1108/MIP-09-2020-0407,1.0,0.02,0.05275027105204532,,,,,,,,
Cross-Cluster Concept,gamification marketing,Gamification marketing,0,Mobile apps & Branded app,0.6476149431963256,3,3,290.0,"absent from cluster 0, present in 3 record(s) elsewhere (6.0% of corpus), tfidf=0.0222",Consumer experience and perception in gamification marketing: evidence from the user survey of POPMART | How gamification marketing activities motivate desirable consumer behaviors: Focusing on the role of brand love | How Does Gamification Improve Purchase Intention? Through the Lens of Perceived Brand Coolness and Time Poverty,10.3389/fcomm.2025.1388020 | 10.1016/j.chb.2018.06.037 | 10.3390/bs14121226,3.0,0.06,0.02223620989257851,,,,,,,,
Cross-Cluster Concept,brand engagement,Brand engagement,0,Mobile apps & Branded app,0.6197167474323164,3,3,136.0,"absent from cluster 0, present in 3 record(s) elsewhere (6.0% of corpus), tfidf=0.0186","The effect of gamification on brand equity and desirable consumer behaviors in online retail stores: The mediating role of brand engagement | Utilitarian and Hedonic Values of Gamification and Their Influence on Brand Engagement, Loyalty, Trust and WoM | Creating brand engagement through in-store gamified customer experiences",10.22059/ijms.2023.352786.675544 | 10.1016/j.entcom.2024.100868 | 10.1016/j.jretconser.2019.05.006,3.0,0.06,0.01855711642154223,,,,,,,,
Cross-Cluster Concept,mobile apps,Mobile apps,1,Consumer behavior & gamification marketing,0.5651857875071067,3,3,427.0,"absent from cluster 1, present in 3 record(s) elsewhere (6.0% of corpus), tfidf=0.0114",Factors driving consumer engagement and intentions with gamification of mobile apps | Enhancing user engagement: The role of gamification in mobile apps | How can gamified applications drive engagement and brand attitude? The case of nike run club application,10.4018/JECO.2020040102 | 10.1016/j.jbusres.2021.04.028 | 10.3390/ADMSCI11030092,3.0,0.06,0.011365809129584644,,,,,,,,
Cross-Cluster Concept,brand love,Brand love,0,Mobile apps & Branded app,0.5541987122152231,3,3,290.0,"absent from cluster 0, present in 3 record(s) elsewhere (6.0% of corpus), tfidf=0.0099",How gamification marketing activities motivate desirable consumer behaviors: Focusing on the role of brand love | How gamification elements benefit brand love: the moderating effect of immersion | Value dimensions of gamification and their influence on brand loyalty and word-of-mouth: Relationships and combinations with satisfaction and brand love,10.1016/j.chb.2018.06.037 | 10.1108/MIP-04-2023-0143 | 10.1002/mar.21573,3.0,0.06,0.009916881130294423,,,,,,,,
Cross-Cluster Concept,consumer behavior,Consumer behavior,3,Customer engagement & Engagement,0.4820548504060626,2,2,6.0,"absent from cluster 3, present in 2 record(s) elsewhere (4.0% of corpus), tfidf=0.0061",How Does Gamification Improve Purchase Intention? Through the Lens of Perceived Brand Coolness and Time Poverty | Gamification as a marketing strategy for sustainable retail: Effects on consumer purchasing decisions and environmental awareness,10.3390/bs14121226 | 10.31893/multiscience.2026477,2.0,0.04,0.006073514605453013,,,,,,,,
Cross-Cluster Concept,digital marketing,Digital Marketing,3,Customer engagement & Engagement,0.43434644327123706,1,1,2.0,"absent from cluster 3, present in 1 record(s) elsewhere (2.0% of corpus), tfidf=0.0055",Employing gamification methods to increase customer engagement in digital marketing,10.35940/ijrte.B1366.0882S819,1.0,0.02,0.005452590223989428,,,,,,,,
Emerging Concept,stealth marketing,Stealth marketing,2,Marketing & Digital Marketing,0.7832350803165059,1,1,88.0,"frequency=1 in cluster, 1 in corpus, z=1.42, tfidf=0.0048",The Ethics of Gamification in a Marketing Context,10.1007/s10551-017-3501-y,,,0.004829060959243266,0.3958895765953908,1.416884249849204,0.45047321173226074,1.0,,,,
