title,abstract,author_keywords,keywords_normalized,combined_text,year,citations,doi,authors,source,eid,query_distance,rank,cluster,distance_from_centroid
"Investigating the impact of gamification on customer engagement, brand loyalty and purchase intent in marketing","Gamification has evolved as a potent method for engaging and motivating consumers in today's dynamic market scenario. This research report investigates the impact of gamification on customer purchasing intentions to determine its current relevance. This study investigates the subtle links between gamification aspects, user engagement, brand loyalty, and consumer purchasing intentions using partial least squares structural equation modelling (PLS-SEM). Gamification is an important technique in modern marketing approaches because of its capacity to captivate and incentivize people. The survey included 300+ individuals from Durg and Raipur, Chhattisgarh's two major districts, representing a broad demographic. The findings show that gamification has a large indirect effect on customer engagement, which in turn affects brand loyalty and eventually shapes the customer’s buying intentions. This study emphasises the critical significance of gamification in altering customer behaviour and the relevance of promoting user engagement and brand Loyalty to drive purchasing decisions. Gamification strategy emerges as a powerful force in the contemporary marketing landscape, with the potential to affect the entire customer journey, as firms seek novel methods to connect with consumers.","['brand loyalty', 'customer buying intentions', 'customer engagement', 'Gamification in marketing']","['brand loyalty', 'customer buying intentions', 'customer engagement', 'gamification in marketing']","Investigating the impact of gamification on customer engagement, brand loyalty and purchase intent in marketing Gamification has evolved as a potent method for engaging and motivating consumers in today's dynamic market scenario. This research report investigates the impact of gamification on customer purchasing intentions to determine its current relevance. This study investigates the subtle links between gamification aspects, user engagement, brand loyalty, and consumer purchasing intentions using partial least squares structural equation modelling (PLS-SEM). Gamification is an important technique in modern marketing approaches because of its capacity to captivate and incentivize people. The survey included 300+ individuals from Durg and Raipur, Chhattisgarh's two major districts, representing a broad demographic. The findings show that gamification has a large indirect effect on customer engagement, which in turn affects brand loyalty and eventually shapes the customer’s buying intentions. This study emphasises the critical significance of gamification in altering customer behaviour and the relevance of promoting user engagement and brand Loyalty to drive purchasing decisions. Gamification strategy emerges as a powerful force in the contemporary marketing landscape, with the potential to affect the entire customer journey, as firms seek novel methods to connect with consumers.",2025,9,10.22201/icat.24486736e.2025.23.1.2592,Punwatkar S.,Journal of Applied Research and Technology,2-s2.0-85219565787,0.22506814382509122,1,3,0.10525625454637622
Consumer experience and perception in gamification marketing: evidence from the user survey of POPMART,"Background: Brand loyalty is crucial for brand marketing effectiveness. Typically, companies may struggle with user feedback and advertising impact, making it challenging to establish consumer habits and receive positive feedback. Gamification marketing engages consumers actively in brand advertising as players. However, the underlying mechanisms of gamification and its impact on advertising effectiveness remain unclear, especially in new consumer domains lacking targeted experiences. Methods: By introducing the USE model that incorporates utilitarian, social, and experiential purposes, we critically elevate the marketing domain’s game evaluation model. Using a survey component of a new online applet, we survey consumers to examine their perceptions and experiences with gamified marketing, exploring data models related to consumer usage motivations and influence levels. The impact of user habits, membership, recommendations, and usage intentions on brand loyalty is analyzed. Results: Our empirical results demonstrate that gamification marketing can effectively increase consumers’ brand loyalty by satisfying utilitarian, social, and experiential purposes, with utilitarian motives showing the strongest significance. Discussion: This study contributes to enhancing the consumer perception in gamified marketing design, enabling targeted improvements in the experiential effects of gamified marketing for businesses.","['brand loyalty', 'consumer experience', 'gamification marketing', 'POPMART', 'USE model']","['brand loyalty', 'consumer experience', 'gamification marketing', 'popmart', 'use model']","Consumer experience and perception in gamification marketing: evidence from the user survey of POPMART Background: Brand loyalty is crucial for brand marketing effectiveness. Typically, companies may struggle with user feedback and advertising impact, making it challenging to establish consumer habits and receive positive feedback. Gamification marketing engages consumers actively in brand advertising as players. However, the underlying mechanisms of gamification and its impact on advertising effectiveness remain unclear, especially in new consumer domains lacking targeted experiences. Methods: By introducing the USE model that incorporates utilitarian, social, and experiential purposes, we critically elevate the marketing domain’s game evaluation model. Using a survey component of a new online applet, we survey consumers to examine their perceptions and experiences with gamified marketing, exploring data models related to consumer usage motivations and influence levels. The impact of user habits, membership, recommendations, and usage intentions on brand loyalty is analyzed. Results: Our empirical results demonstrate that gamification marketing can effectively increase consumers’ brand loyalty by satisfying utilitarian, social, and experiential purposes, with utilitarian motives showing the strongest significance. Discussion: This study contributes to enhancing the consumer perception in gamified marketing design, enabling targeted improvements in the experiential effects of gamified marketing for businesses.",2025,6,10.3389/fcomm.2025.1388020,Zhang J.,Frontiers in Communication,2-s2.0-105001041824,0.2542961689596591,2,3,0.12130884415066912
How gamification marketing activities motivate desirable consumer behaviors: Focusing on the role of brand love,"Gamification is increasingly applied as a design strategy when improving various behavioral outcomes in the online retailing domain. Understanding the attributes of gamification marketing activities (GMAs) is critical for successful gamification, but perceived experience derived from the attributes of GMAs and its influence on desirable consumer behaviors have not been addressed so far in gamified online retailing studies. Thus, this paper aims to examine the relationships among GMAs’ experience, value, satisfaction, brand love, and desirable consumer behaviors. To test these relationships in the research model, we developed a study using a sample of 242 online bookstore customers, and found that the experience of GMAs has a significant and positive effect on hedonic value and utilitarian value. The findings also confirm that hedonic value and utilitarian value significantly affect satisfaction and brand love. Finally, our results confirm that satisfaction has a significant and positive effect on brand love, and in turn, on desirable consumer behaviors (i.e., brand loyalty, positive word-of-mouth, and resistance to negative information). The findings of this study can permit online retailing companies to predict the future behaviors of their customers more exactly and guide their management of assets and gamification marketing activities.","['Brand love', 'Desirable consumer behaviors', 'Gamification marketing', 'Value']","['brand love', 'desirable consumer behaviors', 'gamification marketing', 'value']","How gamification marketing activities motivate desirable consumer behaviors: Focusing on the role of brand love Gamification is increasingly applied as a design strategy when improving various behavioral outcomes in the online retailing domain. Understanding the attributes of gamification marketing activities (GMAs) is critical for successful gamification, but perceived experience derived from the attributes of GMAs and its influence on desirable consumer behaviors have not been addressed so far in gamified online retailing studies. Thus, this paper aims to examine the relationships among GMAs’ experience, value, satisfaction, brand love, and desirable consumer behaviors. To test these relationships in the research model, we developed a study using a sample of 242 online bookstore customers, and found that the experience of GMAs has a significant and positive effect on hedonic value and utilitarian value. The findings also confirm that hedonic value and utilitarian value significantly affect satisfaction and brand love. Finally, our results confirm that satisfaction has a significant and positive effect on brand love, and in turn, on desirable consumer behaviors (i.e., brand loyalty, positive word-of-mouth, and resistance to negative information). The findings of this study can permit online retailing companies to predict the future behaviors of their customers more exactly and guide their management of assets and gamification marketing activities.",2018,290,10.1016/j.chb.2018.06.037,Hsu C.L.,Computers in Human Behavior,2-s2.0-85049883828,0.26067746252003954,3,3,0.1150843059172253
How gamified branded applications drive marketing effectiveness?,"Purpose: Companies understand the potential to use gamification marketing to facilitate a better connection. However, most endeavours in gamification fail. This study aims to identify the design factors that drive the marketing effectiveness of branded applications (apps) with gamification features. Design/methodology/approach: This study investigates branded apps covering various industries such as hospitality, retail and financial services. A total of 296 respondents were recruited from an online questionnaire platform. Findings: The results show that playability, design aesthetics, goal clarity, incentive provision and symbolic benefits were drivers of consumer–brand engagement, which in turn generated purchase intention, app continuance intention and brand loyalty. Originality/value: Based on the elemental tetrad model, this study specified relevant factors identified in the literature to represent the technology, aesthetic, mechanical and story elements. The authors contribute to the literature by identifying design factors as drivers of consumer–brand engagement in the branded app context.","['Branded app', 'Consumer–brand engagement', 'Elemental tetrad model', 'Gamification', 'Marketing effectiveness']","['branded app', 'consumer–brand engagement', 'elemental tetrad model', 'gamification', 'marketing effectiveness']","How gamified branded applications drive marketing effectiveness? Purpose: Companies understand the potential to use gamification marketing to facilitate a better connection. However, most endeavours in gamification fail. This study aims to identify the design factors that drive the marketing effectiveness of branded applications (apps) with gamification features. Design/methodology/approach: This study investigates branded apps covering various industries such as hospitality, retail and financial services. A total of 296 respondents were recruited from an online questionnaire platform. Findings: The results show that playability, design aesthetics, goal clarity, incentive provision and symbolic benefits were drivers of consumer–brand engagement, which in turn generated purchase intention, app continuance intention and brand loyalty. Originality/value: Based on the elemental tetrad model, this study specified relevant factors identified in the literature to represent the technology, aesthetic, mechanical and story elements. The authors contribute to the literature by identifying design factors as drivers of consumer–brand engagement in the branded app context.",2021,29,10.1108/MIP-09-2020-0407,Tseng T.H.,Marketing Intelligence and Planning,2-s2.0-85099750316,0.2651299578611408,4,0,0.09915347466582847
Does gamification affect brand engagement and equity? A study in online brand communities,"Gamification has become a popular technique in marketing. Many companies believe that gamification can potentially increase the engagement, awareness and loyalty of consumers with respect to the brand. However, there is current dearth of empirical evidence supporting these beliefs beyond the pervasive hype. In this study we investigated the relationships between gamification, brand engagement and brand equity among consumers (N = 824) of two online gamified brand communities. The results showed that achievement and social interaction -related gamification features were positively associated with all three forms of brand engagement (emotional, cognitive and social). Immersion -related gamification features were only positively associated with social brand engagement. Additionally, brand engagement was further positively associated with brand equity. The results imply that gamification can positively affect brand engagement and further increase brand equity, and that gamification appears to be an effective technique for brand management.","['Brand', 'Community', 'Engagement', 'Gamification', 'Marketing', 'Social commerce']","['brand', 'community', 'engagement', 'gamification', 'marketing', 'social commerce']","Does gamification affect brand engagement and equity? A study in online brand communities Gamification has become a popular technique in marketing. Many companies believe that gamification can potentially increase the engagement, awareness and loyalty of consumers with respect to the brand. However, there is current dearth of empirical evidence supporting these beliefs beyond the pervasive hype. In this study we investigated the relationships between gamification, brand engagement and brand equity among consumers (N = 824) of two online gamified brand communities. The results showed that achievement and social interaction -related gamification features were positively associated with all three forms of brand engagement (emotional, cognitive and social). Immersion -related gamification features were only positively associated with social brand engagement. Additionally, brand engagement was further positively associated with brand equity. The results imply that gamification can positively affect brand engagement and further increase brand equity, and that gamification appears to be an effective technique for brand management.",2020,382,10.1016/j.jbusres.2019.11.058,Xi N.,Journal of Business Research,2-s2.0-85077194682,0.2665934544218673,5,3,0.12788040235870246
Examining the impact of gamification on intention of engagement and brand attitude in the marketing context,"The development of multiple applications with features of games has brought about a new trend – gamification. Gamification has become a fast-emerging practice in the business world, with a growing number of organizations adopting gaming techniques and game-style rewards in order to increase customer engagement. Despite this growing trend and the potential role played by gamification, the marketing literature lacks models that explain the use of gamification in the marketing context, customers’ perceptions of gamification and its effects on their attitudes towards the brand. This study addresses this omission by adopting the TAM framework in a gamification context. Similar to TAM, gamification finds its roots in the technology and information systems literature. Drawing on TAM, this study presents a model that examines the effects of gamification on customers’ intention to engage in the gamification process and their attitudes toward the brand. Using a quantitative methodology, the results provide empirical support for perceived usefulness and perceived enjoyment as predictors to intention of engagement and brand attitude. However, perceived ease of use was surprisingly found not to be significantly related to people's intention of engagement with the gamification process and their brand attitude. In addition, perceived social influence was found not to be related to people's intention of engagement, but was related to their brand attitude. The findings of this research have theory and practical implications.","['Brand attitude', 'Engagement', 'Gamification', 'TAM']","['brand attitude', 'engagement', 'gamification', 'tam']","Examining the impact of gamification on intention of engagement and brand attitude in the marketing context The development of multiple applications with features of games has brought about a new trend – gamification. Gamification has become a fast-emerging practice in the business world, with a growing number of organizations adopting gaming techniques and game-style rewards in order to increase customer engagement. Despite this growing trend and the potential role played by gamification, the marketing literature lacks models that explain the use of gamification in the marketing context, customers’ perceptions of gamification and its effects on their attitudes towards the brand. This study addresses this omission by adopting the TAM framework in a gamification context. Similar to TAM, gamification finds its roots in the technology and information systems literature. Drawing on TAM, this study presents a model that examines the effects of gamification on customers’ intention to engage in the gamification process and their attitudes toward the brand. Using a quantitative methodology, the results provide empirical support for perceived usefulness and perceived enjoyment as predictors to intention of engagement and brand attitude. However, perceived ease of use was surprisingly found not to be significantly related to people's intention of engagement with the gamification process and their brand attitude. In addition, perceived social influence was found not to be related to people's intention of engagement, but was related to their brand attitude. The findings of this research have theory and practical implications.",2017,407,10.1016/j.chb.2017.03.066,Yang Y.,Computers in Human Behavior,2-s2.0-85017144159,0.2741209755536853,6,3,0.08244923830843298
Employing gamification methods to increase customer engagement in digital marketing,"As “Gamification” quickly becomes a hot topic across industries and academia, it deserves more thorough study through qualitative and quantitative research. There was a definite feeling of infancy of gamification, be it the definition of gamification or the effectiveness of gamification. This document provides a survey of this recent phenomenon of “gamification”: a concept that has been applauded as a “game changing layer” and derided as a “useless buzzword”. It provides a comparative review of different schools of thoughts on the effectiveness of applying game mechanics to non-game contexts. Both industry implementations and academic research is reviewed and analyzed. Most of gamification thought leaders agree that the current state of gamification is mainly focus on extrinsic rewards. While some see the bigger potentials of sustainable gamification with deeper researches in the intrinsic rewards from good game designs.","['Digital Marketing', 'Digitization', 'Internet', 'Marketing']","['digital marketing', 'digitization', 'internet', 'marketing']","Employing gamification methods to increase customer engagement in digital marketing As “Gamification” quickly becomes a hot topic across industries and academia, it deserves more thorough study through qualitative and quantitative research. There was a definite feeling of infancy of gamification, be it the definition of gamification or the effectiveness of gamification. This document provides a survey of this recent phenomenon of “gamification”: a concept that has been applauded as a “game changing layer” and derided as a “useless buzzword”. It provides a comparative review of different schools of thoughts on the effectiveness of applying game mechanics to non-game contexts. Both industry implementations and academic research is reviewed and analyzed. Most of gamification thought leaders agree that the current state of gamification is mainly focus on extrinsic rewards. While some see the bigger potentials of sustainable gamification with deeper researches in the intrinsic rewards from good game designs.",2019,2,10.35940/ijrte.B1366.0882S819,Kumar G.A.,International Journal of Recent Technology and Engineering,2-s2.0-85073466076,0.28010559388585454,7,2,0.10403011951838859
How gamification elements benefit brand love: the moderating effect of immersion,"Purpose: A gamification approach uses game components in non-game services to increase customer engagement and loyalty. This study aims to investigate the relationships between gamification elements, customer engagement, immersion and brand love. Design/methodology/approach: Using the most popular gamification feature in Indonesian e-commerce, namely Shopee Games. The Snowball sampling technique was used. The data were collected from 355 Indonesians who played Shopee Games. AMOS 28.0 was used to analysis on the data. Findings: The gamification elements of challenges, points and enjoyment positively influence customer engagement. Moreover, customer engagement positively influences brand love, which is increased by the moderation of immersion. In addition, customer engagement mediates the relationships between the gamification elements of challenges, points, enjoyment and brand love. Originality/value: This study identifies the critical elements of gamification in e-commerce platforms. In addition, based on the S-O-R model, this study contributes to research on how customer engagement plays an intermediate variable in the gamification-brand relationship. As conceptual and empirical research on this topic is still underdeveloped, this study provides fresh insights into gamification-oriented brand marketing practices. It offers significant theoretical and managerial implications from an integrated perspective.","['Brand love', 'Customer engagement', 'Gamification', 'Immersion', 'S-O-R model']","['brand love', 'customer engagement', 'gamification', 'immersion', 's-o-r model']","How gamification elements benefit brand love: the moderating effect of immersion Purpose: A gamification approach uses game components in non-game services to increase customer engagement and loyalty. This study aims to investigate the relationships between gamification elements, customer engagement, immersion and brand love. Design/methodology/approach: Using the most popular gamification feature in Indonesian e-commerce, namely Shopee Games. The Snowball sampling technique was used. The data were collected from 355 Indonesians who played Shopee Games. AMOS 28.0 was used to analysis on the data. Findings: The gamification elements of challenges, points and enjoyment positively influence customer engagement. Moreover, customer engagement positively influences brand love, which is increased by the moderation of immersion. In addition, customer engagement mediates the relationships between the gamification elements of challenges, points, enjoyment and brand love. Originality/value: This study identifies the critical elements of gamification in e-commerce platforms. In addition, based on the S-O-R model, this study contributes to research on how customer engagement plays an intermediate variable in the gamification-brand relationship. As conceptual and empirical research on this topic is still underdeveloped, this study provides fresh insights into gamification-oriented brand marketing practices. It offers significant theoretical and managerial implications from an integrated perspective.",2023,42,10.1108/MIP-04-2023-0143,Tsou H.T.,Marketing Intelligence and Planning,2-s2.0-85168658534,0.2865855199240266,8,3,0.1313369412515586
EMPIRICAL STUDY ON GAMIFICATION EFFECT ON BRAND ENGAGEMENT,"Gamification is the practice of applying game design aspects to non-gaming contexts, which has grown in popularity over the previous decade. It is a technology used to stimulate the consumers’ psychological motivations towards a service, activity, product, or brand in the business world. Different frameworks have been proposed, with design elements carrying unique characteristics, and have been described as motivating attitudes. However, the rarity of empirical evidence answering the people’s drive to use gamification in the marketing field still represents a gap in the literature. This study proposes a comprehensive gamified framework specially developed for assessing the effect of gamification on brand engagement according to UX designs using different game elements. Materials and an experiment were conducted, where the participants performed the tasks and activities within the gamified framework. Data was collected through a comprehensive survey answered by the customers after experimenting. The data included the evaluation of the relationship between the user experience and the game elements and their effect on utilitarian and hedonic motivations. A holistic evaluation of the whole gameful experience and its influence on customer attitude in regards to more brand-enhanced engagement was further assessed. The results of this study revealed a positive relationship, with a statistically highly significant correlation between the proposed framework and the studied variables, in conjunction with player personality as an important moderating factor. Accordingly, it was concluded that customer attitude towards a brand can be affected during a gameful experience and will eventually result in positive, active, enhanced brand engagement.","['Game elements', 'Gameful experience', 'Gamification', 'Hedonic motivation', 'User experience', 'Utilitarian motivation']","['game elements', 'gameful experience', 'gamification', 'hedonic motivation', 'user experience', 'utilitarian motivation']","EMPIRICAL STUDY ON GAMIFICATION EFFECT ON BRAND ENGAGEMENT Gamification is the practice of applying game design aspects to non-gaming contexts, which has grown in popularity over the previous decade. It is a technology used to stimulate the consumers’ psychological motivations towards a service, activity, product, or brand in the business world. Different frameworks have been proposed, with design elements carrying unique characteristics, and have been described as motivating attitudes. However, the rarity of empirical evidence answering the people’s drive to use gamification in the marketing field still represents a gap in the literature. This study proposes a comprehensive gamified framework specially developed for assessing the effect of gamification on brand engagement according to UX designs using different game elements. Materials and an experiment were conducted, where the participants performed the tasks and activities within the gamified framework. Data was collected through a comprehensive survey answered by the customers after experimenting. The data included the evaluation of the relationship between the user experience and the game elements and their effect on utilitarian and hedonic motivations. A holistic evaluation of the whole gameful experience and its influence on customer attitude in regards to more brand-enhanced engagement was further assessed. The results of this study revealed a positive relationship, with a statistically highly significant correlation between the proposed framework and the studied variables, in conjunction with player personality as an important moderating factor. Accordingly, it was concluded that customer attitude towards a brand can be affected during a gameful experience and will eventually result in positive, active, enhanced brand engagement.",2023,5,10.51847/sAorvxedSs,Elshoubashy H.,Journal of Organizational Behavior Research,2-s2.0-85217513525,0.28994439317528864,9,3,0.07755998484483906
How does gameful experience foster customer engagement and brand advocacy? Consumer insights into branding in e-tail,"Purpose: This study aims to examine the influence of gameful experience (GAMEX) on customer brand engagement in the context of e-tailing. Drawing on the self-determination and social learning theories, the authors have developed a comprehensive model incorporating cognitive, emotional and behavioral factors leading to brand advocacy and re-visit intention for the retail website. Design/methodology/approach: The data for this study were obtained from 715 customers across various e-tailing websites. This research uses both quantitative method (partial least squares structural equation modeling − PLS-SEM) and qualitative method (fuzzy set qualitative comparative analysis − fsQCA) to investigate the relationship between GAMEX and customer brand engagement in the e-tailing context, with a focus on the long-term outcomes of brand advocacy and re-visit intention. Findings: The PLS-SEM results indicate a significant impact of GAMEX on customer brand engagement. In addition, the findings reveal the moderating role of fear of missing out, internet self-efficacy and technoeustress in the association among GAMEX, customer brand engagement, brand advocacy and re-visit intention. The findings from fsQCA support the results obtained from PLS-SEM and reveal four configurations for brand advocacy and five configurations for re-visit intentions. Originality/value: This research evaluates the impact of GAMEX on customer brand engagement using a mixed-method approach involving qualitative and quantitative procedures. This study offers valuable insights into the design of gamified marketing activities and current practices for fostering greater engagement.","['Brand advocacy', 'Customer brand engagement', 'FOMO', 'Gameful experience (GAMEX)', 'Gamification', 'Re-visit intention']","['brand advocacy', 'customer brand engagement', 'fomo', 'gameful experience (gamex)', 'gamification', 're-visit intention']","How does gameful experience foster customer engagement and brand advocacy? Consumer insights into branding in e-tail Purpose: This study aims to examine the influence of gameful experience (GAMEX) on customer brand engagement in the context of e-tailing. Drawing on the self-determination and social learning theories, the authors have developed a comprehensive model incorporating cognitive, emotional and behavioral factors leading to brand advocacy and re-visit intention for the retail website. Design/methodology/approach: The data for this study were obtained from 715 customers across various e-tailing websites. This research uses both quantitative method (partial least squares structural equation modeling − PLS-SEM) and qualitative method (fuzzy set qualitative comparative analysis − fsQCA) to investigate the relationship between GAMEX and customer brand engagement in the e-tailing context, with a focus on the long-term outcomes of brand advocacy and re-visit intention. Findings: The PLS-SEM results indicate a significant impact of GAMEX on customer brand engagement. In addition, the findings reveal the moderating role of fear of missing out, internet self-efficacy and technoeustress in the association among GAMEX, customer brand engagement, brand advocacy and re-visit intention. The findings from fsQCA support the results obtained from PLS-SEM and reveal four configurations for brand advocacy and five configurations for re-visit intentions. Originality/value: This research evaluates the impact of GAMEX on customer brand engagement using a mixed-method approach involving qualitative and quantitative procedures. This study offers valuable insights into the design of gamified marketing activities and current practices for fostering greater engagement.",2025,17,10.1108/JCM-04-2024-6764,Malik G.,Journal of Consumer Marketing,2-s2.0-85216636518,0.292818396705528,10,3,0.13098313099894998
