Title,Abstract,Author Keywords,Year,Cited by,DOI,Authors,Source title,EID
Building dynamic capabilities for digital transformation: An ongoing process of strategic renewal,"In this qualitative study, we explore how incumbent firms in traditional industries build dynamic capabilities for digital transformation. Digital transformation has been defined as the use of new digital technologies, such as mobile, artificial intelligence, cloud, blockchain, and the Internet of things (IoT) technologies, to enable major business improvements to augment customer experience, streamline operations, or create new business models. In making sense of digital transformation, we discovered that leaders in various industry circles use the term inconsistently to describe various strategizing and organizing activities; in addition, the term has gained limited scholarly attention as a context for study of strategic change. Drawing on senior executives' experiences with leading digitalization projects at incumbent firms, we propose a process model comprising of nine microfoundations to reveal the generic contingency factors that trigger, enable, and hinder the building of dynamic capabilities for digital transformation. Our findings reveal that digital transformation is an ongoing process of using new digital technologies in everyday organizational life, which recognizes agility as the core mechanism for the strategic renewal of an organization's (1) business model, (2) collaborative approach, and eventually the (3) culture.",Digital transformation; Digitalization; Dynamic capabilities; Microfoundations; Qualitative interpretive research; Strategic agility; Strategic renewal; Technology and innovation management,2019,2820,10.1016/j.lrp.2018.12.001,Warner K.S.R.,Long Range Planning,2-s2.0-85067622891
Digital transformation and customer value creation in Made in Italy SMEs: A dynamic capabilities perspective,"This study examines the impact of digital transformation on customer value creation in the context of small and medium-sized firms (SMEs) operating in the Made in Italy sectors, with the aim of understanding how dynamic capabilities, as enabling mechanisms, may foster digital transformation. We use multi-case study research on the digital transformation of six Made in Italy SMEs, belonging to the food, fashion, and furniture design industries. The results show that, for the selected SMEs, digital instruments contribute to innovation of their business model, creating new distribution channels and new ways to create and deliver value to customer segments. The results highlight the relevance of sensing and learning capabilities as triggers of digital transformation. In addition to the theoretical contribution to the existing literature on digital transformation and organizational capability, this study provides some managerial implications for digital transformation in SMEs operating in the Made in Italy sectors.",Customer value creation; Digital transformation; Dynamic capabilities; Made in Italy; SME,2021,1040,10.1016/j.jbusres.2020.10.033,Matarazzo M.,Journal of Business Research,2-s2.0-85093678965
The role of dynamic capabilities in responding to digital disruption: A factor-based study of the newspaper industry,"Internet and digitization are fundamentally changing and disrupting newspaper companies' traditional operating models. Disruptive innovation theory offers explanations for why companies succeed or fail to respond to disruptive innovations. This study builds on disruptive innovation theory by ascertaining the role of dynamic capabilities in the performance of response to digital disruption. Empirical results suggest that first-order dynamic capabilities that are created by changing, extending, or adapting a firm's existing resources, processes, and values are positively associated with building digital platform capabilities, and that these capabilities impact the performance of response to digital disruption. For information systems (IS) researchers, this study clarifies the role of first-order dynamic capabilities in responding to digital disruption. For IS practice, it helps managers to focus on the most promising factors for creating first-order dynamic capabilities, for building digital platform capabilities, and for reinventing their core functions to accelerate digitization.",Autonomous growth group; Common language; Digital disruption; Digital platforms; Digital transformation; Digitization; Disruptive innovation; Innovative culture; Multimedia mindset; Organizational capabilities; Resources-processes-values (RPV) framework; Response performance; Staged resource allocation,2015,791,10.1080/07421222.2015.1029380,Karimi J.,Journal of Management Information Systems,2-s2.0-84943371154
Digital transformation of industrial businesses: A dynamic capability approach,"Industrial firms are under severe pressure to undertake digital transformation and leverage the Industrial Internet of Things (IIoT) and emerging technologies for the integration of industrial machines to share information on a real-time or near real-time basis. Though in recent years researchers have focused their attention on digital transformation, there is limited scholarly guidance for developing capabilities for such transformation. Drawing on dynamic capability theory and exploratory qualitative interviews with senior ‘elite’ executives from five of the world's largest multinational firms, the study outlines a new conceptual framework for digital transformative capability development. The integrative framework demonstrates how the three core capabilities of digital sensing, digital seizing, and digital reconfiguring manifest through associated capabilities of Strategic Sensing, Rapid Prototyping, Organization Structure, Business Model Transformation, and Cultural/Mindset Transformation. Internal and external contingencies are proposed as moderators of the relationship between IIoT and emerging technologies, and digital transformative capability development. Collectively, the article makes the case for Digital Transformation Capability and sheds new light on the digital transformation process. Implications for theory and practice are highlighted, and limitations are discussed.",Digital transformation; Dynamic capability; Emerging technologies; IIoT,2022,523,10.1016/j.technovation.2021.102414,Ghosh S.,Technovation,2-s2.0-85119018010
Strategies for Digitalization in Manufacturing Firms,"This article discusses the digitalization efforts of 26 leading manufacturing firms, the difficulties encountered, and how they can be handled. It shows that many firms are far from ready to benefit from digitalization and are mainly focused on achieving greater efficiency through digitalization rather than pursuing a growth agenda. This imbalance is because of the difficulties related to identifying profitable configurations of competencies, assets, and data generated from digital technologies, orchestrating them, and exploiting them in an agile organization. Practical implications of digitalization are highlighted, specifically in terms of strategies for supporting the current business and embracing long-term digital transformation.",agility; business model innovation; digital transformation; digitalization; dynamic capabilities; ecosystems; services; strategy; value capture; value creation,2020,515,10.1177/0008125620920349,Björkdahl J.,California Management Review,2-s2.0-85084516279
Identifying digital transformation paths in the business model of smes during the covid-19 pandemic,"The objective of this study was to analyze how small and medium enterprises (SMEs) cope with environmental changes due to the COVID-19 pandemic by pursuing the business model transformation with the support of digital technologies. To achieve the objective, this study used a multiple case study design with qualitative analysis to examine the data obtained from interviews, observation, and field visits. Seven manufacturing SMEs from Indonesia were selected using a theoretical sampling technique, with the purpose of achieving some degree of variation to allow us to undertake replication logic. Our analysis demonstrates that SMEs adopt a different degree of digital transformations, which can be summarized into three paths, depending on the firms’ contextual factors. First, SMEs with a high level of digital maturity who respond to the challenges by accelerating the transition toward digitalized firms; second, SMEs experiencing liquidity issues but a low level of digital maturity who decide to digitalize the sales function only; and, third, the SMEs that have very limited digital literacy but are supported by a high level of social capital. This last group of firms solves the challenges by finding partners who possess excellent digital capabilities. The qualitative case study method allows us to conduct in-depth and detailed analysis, but has thin generalizability. To address this limitation, future research can use a survey covering various industries to test the proposed theory that has resulted from this study, so that the generalizability can be assured.",Business model innovation; Digital technology; Digital transformation; Dynamic capability; Learning organization; Open innovation; Organizational agility,2020,497,10.3390/joitmc6040104,Priyono A.,Journal of Open Innovation Technology Market and Complexity,2-s2.0-85093687964
Digital transformation and sustainable performance: The moderating role of market turbulence,"As digital technologies disrupt one sector after another, many companies are actively embracing digital transformation. However, the relationship between digital transformation and sustainable performance remains unclear. To fill this gap, based on an integrated perspective of dynamic capability and organizational inertia, this study examines the curvilinear relationships between digital transformation and economic and environmental dimensions of sustainable performance. Survey data from 223 Chinese companies articulate that although digital transformation fosters economic performance at an accelerating rate, it depicts an inverse U-shaped relationship with environmental performance. More interestingly, the accelerating rate of digital transformation on economic performance is quicker under low market turbulence. In contrast, when market turbulence is high, higher digital transformation is associated with worse environmental performance. This study contributes to the literature by providing new theoretical explanations for the inconsistent relationship between digital transformation and sustainable performance. This study also assists companies in re-evaluating their digital strategies.",China; Digital transformation; Economic performance; Environmental performance; Market turbulence,2022,470,10.1016/j.indmarman.2022.04.007,Li L.,Industrial Marketing Management,2-s2.0-85129242547
"Exploring the impact of digital transformation on technology entrepreneurship and technological market expansion: The role of technology readiness, exploration and exploitation","The objective of this research is to addresses the effects of digital transformation on value creation through the study of technology entrepreneurship and technological market expansion. This is particularly important since both of these concepts are part of the dynamic capabilities that help in embracing digital innovation at a national level. Relevant data from 28 European countries representing development indicators and ease of doing business over a timeframe of 7 years from 2009 to 2015 were analysed to formulate and investigate a new perspective of digital entrepreneurship driven by the concepts of digital transformation and entrepreneurship. To do this, digital transformation has been broken into three categories, namely technology readiness (e.g. ICT investments), digital technology exploration (e.g. research and development) and digital technology exploitation (e.g. patents and trademarks). This research identifies several significant relationships between such constructs, which contribute to the literature and provide key implications for business management and practitioners.",Digital transformation; Market expansion; Technology entrepreneurship; Technology exploitation; Technology exploration; Technology readiness,2021,417,10.1016/j.jbusres.2020.11.020,Jafari-Sadeghi V.,Journal of Business Research,2-s2.0-85097415517
Digital transforming capability and performance: a microfoundational perspective,"Purpose: Drawing on the literature on dynamic capabilities and digital transformation, this paper conceptualises and investigates the relevant antecedents of an essential capability for digital transformation – the digital transforming capability – and its effect on the competitive advantage of firms. Design/methodology/approach: A framework with individual and organisational microfoundations of the digital transforming capability is proposed based on previous research. The digital transforming capability is conceptualised as a second-order construct. The model is tested using data from a broad spectrum of large US companies. Structural equation modelling (SEM) is applied to test the proposed framework. Findings: The study identifies three main microfoundations that, when combined, build a digital transforming capability (digital-savvy skills, digital intensity and context for action and interaction); in addition, the study tests the relationship between digital transforming capability and firm performance. The results validate the proposed theoretical framework. In addition to proposing relevant microfoundations of the digital transforming capability, we advance knowledge on the performance effects of those microfoundations. Originality/value: The paper contributes to advancing the understanding of the digital transformation phenomenon by revealing the role of the primary components underlying the digital transforming capability. Yet the mechanisms by which the micro-level aspects are important for digital transformation and organisational outcomes are only suggested by anecdotal evidence. The paper also contributes to ongoing calls for further investigation to extend the understanding of the microfoundations of dynamic capabilities. Finally, by drawing on archival data, this study also contributes to calls to broaden the toolkit used in dynamic capabilities research.",Digital transformation; Dynamic capabilities; Firm performance,2020,389,10.1108/IJOPM-06-2019-0444,Sousa-Zomer T.T.,International Journal of Operations and Production Management,2-s2.0-85085469906
"Artificial intelligence enabling circular business model innovation in digital servitization: Conceptualizing dynamic capabilities, AI capacities, business models and effects","This study explores the potential of AI to enable circular business model innovation (CBMI) for industrial manufacturers and the corresponding AI capacities and dynamic capabilities required for their commercialization. Employing an analysis of six leading B2B firms engaged in digital servitization, we conceptualize the perceptive, predictive, and prescriptive capacities of AI, which enhance resource efficiency by automating and augmenting data-driven analysis and decision making. We further identify two innovative classes of AI-enabled CBMs – augmentation (e.g., optimization solutions) and automation (e.g., autonomous solutions) business models – and their main circular value drivers. Finally, our research reveals novel dynamic capabilities underpinning the innovation of AI-enabled business models – value discovery, value realization, and value optimization capabilities – which enable manufacturers to make economic and sustainable values come to life in collaborating with customers and ecosystem partners. This study represents an important step in our understanding of how AI can drive circularity and sustainable innovation in industrial digital servitization. Overall, our study contributes to practice and the academic literature on AI, circular business models, and digital servitization by highlighting the potential of AI to empower CBMs for industrial manufacturers and the underlying processes of this digital transformation.",Artificial intelligence; Circular business models; Circular economy; Digital servitization; Digital transformation; Ecosystem; Platform; Sustainability; Twin transition,2023,374,10.1016/j.techfore.2023.122903,Sjödin D.,Technological Forecasting and Social Change,2-s2.0-85173884486
