gap_type,keyword,n_runs_found,n_seeds_found,n_sizes_found,mean_score,min_score,max_score,mean_frequency,cluster_labels,support
Peripheral Keyword,ryad titah,18,5,4,0.6019648671279493,0.4736321540720534,0.693782591586465,1.0,Microfoundations & Qualitative interpretive research | Microfoundations & family business | Qualitative interpretive research & Reconfiguring | Qualitative interpretive research & Seizing | Reconfiguring & Seizing | Seizing & IIoT | Seizing & Sensing,0.9
Peripheral Keyword,freight transportation,10,5,2,0.5846488893256472,0.5590797454784842,0.6120283292971911,1.0,Emerging market & family business | Firm performance & Emerging market | Microfoundations & Emerging market | Microfoundations & Firm performance | Microfoundations & Strategic renewal | Seizing & IIoT | Seizing & Sensing | Technology and innovation management & Internationalization,0.5
Peripheral Keyword,multimedia mindset,9,5,3,0.4310108828220941,0.4131656089393415,0.44125974613809815,1.0,Digitalization & Digital Technology,0.45
Peripheral Keyword,social attention,8,5,3,0.5771165673347662,0.5189357182422341,0.6124866345625594,1.0,Firm performance & Routines | Firm performance & performance | Microfoundations & Qualitative interpretive research | Microfoundations & Strategic agility | Qualitative interpretive research & Case study | Strategic agility & Strategic renewal,0.4
Peripheral Keyword,digital seizing,7,4,2,0.4323211516178662,0.42662086924180853,0.43968393063872324,1.0,Digitalization & Digital Technology,0.35
Peripheral Keyword,exogenous shock,5,5,1,0.6621892993656381,0.6525203074985504,0.6693801270422333,1.0,Microfoundations & Qualitative interpretive research | Qualitative interpretive research & Reconfiguring,0.25
Peripheral Keyword,african banking,5,5,1,0.5714874518722652,0.5593427581438664,0.5930250472991156,1.0,Emerging market & family business | Firm performance & Emerging market | Microfoundations & Firm performance | Microfoundations & Strategic renewal,0.25
Peripheral Keyword,pär ågerfalk,4,3,3,0.5902976087291493,0.5557167638714401,0.6092407574347953,1.0,Firm performance & family business | Qualitative interpretive research & Case study | Seizing & IIoT | Strategic agility & Strategic renewal,0.2
Peripheral Keyword,differentiation strategy,4,4,2,0.49190423124927773,0.48064986001412136,0.5023537294358056,1.0,Microfoundations & Strategic agility | Strategic agility & Strategic renewal | Strategic renewal & Technology and innovation management | Technology and innovation management & new product development (NPD),0.2
Peripheral Keyword,technological diversity,4,4,1,0.4393946449705456,0.43552404674922385,0.44171810506791154,1.0,Digitalization & Digital Technology | Technology and innovation management & new product development (NPD),0.2
