gap_type,keyword,keyword_display,cluster,cluster_label,score,frequency,n_articles,citations,rationale,article_titles,article_dois,metric_distance_from_subcentroid,metric_distance_zscore,metric_centrality,metric_tfidf,metric_global_frequency,metric_similarity,metric_frequency_1,metric_frequency_2,metric_mean_tfidf,metric_frequency_other_clusters,metric_presence_ratio
Conceptual Combination,dynamic capabilities x industry 4.0,Dynamic capabilities x Industry 4.0,2,Digitalization & Microfoundations,0.6562274926896223,12,0,,semantically related (similarity=0.29) but never co-occurring; mean tfidf=0.0287,,,,,,,,0.28767848634954024,10.0,2.0,0.02869490120333005,,
Conceptual Combination,dynamic capability x industry 4.0,Dynamic capability x Industry 4.0,2,Digitalization & Microfoundations,0.4625659040519489,5,0,,semantically related (similarity=0.28) but never co-occurring; mean tfidf=0.0153,,,,,,,,0.2832248228006945,3.0,2.0,0.01532868193713112,,
Cross-Cluster Concept,firm performance,Firm performance,0,Family firms & digital innovation,0.5467333055879887,3,3,389.0,"absent from cluster 0, present in 3 record(s) elsewhere (6.0% of corpus), tfidf=0.0110",Digital transforming capability and performance: a microfoundational perspective | Managerial capabilities as facilitators of digital transformation? Dynamic managerial capabilities as antecedents to digital business model transformation and firm performance | Is it strategy or technology that drives value? Exploring the impact of digital transformation on manufacturing firms,10.1108/IJOPM-06-2019-0444 | 10.1016/j.digbus.2023.100053 | 10.1016/j.iref.2026.105076,,,,0.01099710490204713,,,,,,3.0,0.06
Cross-Cluster Concept,digital leadership,Digital leadership,0,Family firms & digital innovation,0.5349640967632,3,3,50.0,"absent from cluster 0, present in 3 record(s) elsewhere (6.0% of corpus), tfidf=0.0091","Boosting SMEs’ digital transformation: the role of dynamic capabilities in cultivating digital leadership and digital culture | Harnessing Intellectual Capital, Digital Leadership, and Dynamic Capabilities to Reorchestrate Change in Digital Transformation | Unraveling the role of digital leadership in developing digital dynamic capabilities for the digital transformation of firms",10.1007/s11846-025-00919-5 | 10.1002/kpm.70033 | 10.1108/BIJ-10-2023-0756,,,,0.009086269118428565,,,,,,3.0,0.06
Cross-Cluster Concept,competitive advantage,Competitive advantage,0,Family firms & digital innovation,0.5322526393351861,3,3,105.0,"absent from cluster 0, present in 3 record(s) elsewhere (6.0% of corpus), tfidf=0.0086","Dynamic Capabilities and Digital Transformation: Toward Strategic Planning in the Digital Age—Evidence from Palestine | Harnessing Intellectual Capital, Digital Leadership, and Dynamic Capabilities to Reorchestrate Change in Digital Transformation | Toward a dynamic capability perspective of digital transformation in SMEs: A study of the mobility sector",10.3390/admsci15010021 | 10.1002/kpm.70033 | 10.1016/j.jclepro.2024.140718,,,,0.008646039876485417,,,,,,3.0,0.06
Cross-Cluster Concept,technological innovation,Technological innovation,2,Digitalization & Microfoundations,0.530151458021491,3,3,16.0,"absent from cluster 2, present in 3 record(s) elsewhere (6.0% of corpus), tfidf=0.0083","Is it strategy or technology that drives value? Exploring the impact of digital transformation on manufacturing firms | Linking manufacturing digitalization and technological Innovation: The mediating role of dynamic capabilities | Harnessing Intellectual Capital, Digital Leadership, and Dynamic Capabilities to Reorchestrate Change in Digital Transformation",10.1016/j.iref.2026.105076 | 10.1016/j.techsoc.2025.103041 | 10.1002/kpm.70033,,,,0.008304894392379237,,,,,,3.0,0.06
Cross-Cluster Concept,industry 4.0,Industry 4.0,1,Competitive advantage & Dynamic managerial capabilities,0.502930982528374,2,2,277.0,"absent from cluster 1, present in 2 record(s) elsewhere (4.0% of corpus), tfidf=0.0109",Road to digital manufacturing – a longitudinal case-based analysis | Building digitally-enabled process innovation in the process industries: A dynamic capabilities approach,10.1108/JMTM-06-2019-0226 | 10.1016/j.technovation.2021.102256,,,,0.010866840613669057,,,,,,2.0,0.04
Cross-Cluster Concept,family firms,Family firms,1,Competitive advantage & Dynamic managerial capabilities,0.49793395259927126,2,2,15.0,"absent from cluster 1, present in 2 record(s) elsewhere (4.0% of corpus), tfidf=0.0101",Digital transformation and the performance of family firms: a dynamic capabilities perspective | Digital transformation and digital dynamic capabilities improvement in low-medium technology sector: evidence from Thai family firms,10.1080/14479338.2024.2448486 | 10.1057/s41291-024-00281-6,,,,0.010055528337500487,,,,,,2.0,0.04
Cross-Cluster Concept,organizational capabilities,Organizational capabilities,1,Competitive advantage & Dynamic managerial capabilities,0.471891666008537,2,2,791.0,"absent from cluster 1, present in 2 record(s) elsewhere (4.0% of corpus), tfidf=0.0058",Mastering the digital transformation through organizational capabilities: A conceptual framework | The role of dynamic capabilities in responding to digital disruption: A factor-based study of the newspaper industry,10.1016/j.digbus.2021.100019 | 10.1080/07421222.2015.1029380,,,,0.005827331366433628,,,,,,2.0,0.04
Emerging Concept,agrifood businesses,Agrifood businesses,5,Performance & SMEs,0.739835862474018,1,1,131.0,"frequency=1 in cluster, 1 in corpus, z=2.48, tfidf=0.0051",Exploring digital transformation and dynamic capabilities in agrifood SMEs,10.1080/00472778.2020.1844494,0.47601879886281195,2.4821887026790836,0.5011233471043846,0.005065645250369705,1.0,,,,,,
Emerging Concept,automotive industry,Automotive industry,2,Digitalization & Microfoundations,0.7167879382595268,1,1,65.0,"frequency=1 in cluster, 1 in corpus, z=0.96, tfidf=0.0038",Road to digital manufacturing – a longitudinal case-based analysis,10.1108/JMTM-06-2019-0226,0.37396344978869234,0.9572554832620377,0.5305444347378029,0.0037766497828046228,1.0,,,,,,
Emerging Concept,social attention,Social attention,3,ESG performance & Firm performance,0.7125801435775245,1,1,57.0,"frequency=1 in cluster, 1 in corpus, z=1.48, tfidf=0.0034","Environmental, social and governance performance: dynamic capabilities through digital transformation",10.1108/MD-10-2023-2028,0.39828571370699994,1.4778588785597406,0.5391080110901253,0.0033826872441053714,1.0,,,,,,
Emerging Concept,business model,Business model,1,Competitive advantage & Dynamic managerial capabilities,0.6810732228876111,1,1,123.0,"frequency=1 in cluster, 1 in corpus, z=0.17, tfidf=0.0101",Managerial capabilities as facilitators of digital transformation? Dynamic managerial capabilities as antecedents to digital business model transformation and firm performance,10.1016/j.digbus.2023.100053,0.28530473174267224,0.16500923734213105,0.42036343427898193,0.010149256794475973,1.0,,,,,,
Emerging Concept,dt vision,DT vision,4,Digital Technology & Internationalization,0.67755843850758,1,1,2.0,"frequency=1 in cluster, 1 in corpus, z=2.65, tfidf=0.0027",Assessing the Impact of Strategic and Organizational Factors on Digital Capabilities,10.1002/jsc.70065,0.5663723497917781,2.6532887799807248,0.5335969491317131,0.0027254426061513915,1.0,,,,,,
Emerging Concept,it alignment,IT alignment,1,Competitive advantage & Dynamic managerial capabilities,0.6750078998869534,1,1,34.0,"frequency=1 in cluster, 1 in corpus, z=1.67, tfidf=0.0043",The impact of dynamic capabilities on enterprise agility: The intervening roles of digital transformation and IT alignment,10.1016/j.joitmc.2024.100266,0.37521328411167154,1.6712641557914492,0.4128351768328338,0.004289728191952258,1.0,,,,,,
Emerging Concept,steel industry,Steel industry,2,Digitalization & Microfoundations,0.655111088016735,1,1,277.0,"frequency=1 in cluster, 1 in corpus, z=0.63, tfidf=0.0022",Building digitally-enabled process innovation in the process industries: A dynamic capabilities approach,10.1016/j.technovation.2021.102256,0.3532799578773077,0.6328370835367356,0.5772648077442801,0.0022315004319083264,1.0,,,,,,
Emerging Concept,firm performance,Firm performance,1,Competitive advantage & Dynamic managerial capabilities,0.6496873683085174,1,1,123.0,"frequency=1 in cluster, 3 in corpus, z=1.21, tfidf=0.0110",Managerial capabilities as facilitators of digital transformation? Dynamic managerial capabilities as antecedents to digital business model transformation and firm performance,10.1016/j.digbus.2023.100053,0.3476404063557944,1.2093305394527214,0.42152285448894755,0.01099710490204713,3.0,,,,,,
Emerging Concept,ecosystem orchestration,Ecosystem orchestration,5,Performance & SMEs,0.6489581415924462,1,1,4.0,"frequency=1 in cluster, 1 in corpus, z=1.71, tfidf=0.0034",Digital Capabilities on Business Performance: Does It Matter?,10.1590/1807-7692bar2024230128,0.40442305874162465,1.7133629741025966,0.491881271151112,0.003362685041693381,1.0,,,,,,
Emerging Concept,design thinking,Design thinking,2,Digitalization & Microfoundations,0.6234091154947308,1,1,140.0,"frequency=1 in cluster, 1 in corpus, z=1.31, tfidf=0.0035",Enlightening the dynamic capabilities of design thinking in fostering digital transformation,10.1016/j.indmarman.2021.06.014,0.3961362799793944,1.305033997579975,0.35653473789349055,0.003462127503133707,1.0,,,,,,
Emerging Concept,manufacturing firms,Manufacturing firms,4,Digital Technology & Internationalization,0.6123439398954673,1,1,16.0,"frequency=1 in cluster, 1 in corpus, z=1.47, tfidf=0.0039",Linking manufacturing digitalization and technological Innovation: The mediating role of dynamic capabilities,10.1016/j.techsoc.2025.103041,0.45513855592054975,1.4668565778367646,0.5029687189489459,0.0038574087153734936,1.0,,,,,,
Emerging Concept,common language,Common language,4,Digital Technology & Internationalization,0.5974760032696875,1,1,791.0,"frequency=1 in cluster, 1 in corpus, z=0.95, tfidf=0.0018",The role of dynamic capabilities in responding to digital disruption: A factor-based study of the newspaper industry,10.1080/07421222.2015.1029380,0.4069975794362266,0.9533794882233563,0.6255813176229268,0.0018119940813229117,1.0,,,,,,
Emerging Concept,process digitization,Process digitization,5,Performance & SMEs,0.5426845138062532,1,1,4.0,"frequency=1 in cluster, 1 in corpus, z=0.41, tfidf=0.0034",Digital Capabilities on Business Performance: Does It Matter?,10.1590/1807-7692bar2024230128,0.28344271274721755,0.414224191611538,0.4707228137997028,0.003362685041693381,1.0,,,,,,
Emerging Concept,pär ågerfalk,Pär Ågerfalk,0,Family firms & digital innovation,0.5001540068210857,1,1,372.0,"frequency=1 in cluster, 1 in corpus, z=2.16, tfidf=0.0026",Digital transformation in family-owned Mittelstand firms: A dynamic capabilities perspective,10.1080/0960085X.2020.1857666,0.48717998949591856,2.1617213888816074,0.5069938693094291,0.0025692134907704983,1.0,,,,,,
Emerging Concept,operational efficiency,Operational efficiency,3,ESG performance & Firm performance,0.4844669659063664,1,1,3.0,"frequency=1 in cluster, 1 in corpus, z=0.45, tfidf=0.0030",Is it strategy or technology that drives value? Exploring the impact of digital transformation on manufacturing firms,10.1016/j.iref.2026.105076,0.31319785350692053,0.4542927187031228,0.3698452661009024,0.003049410105258905,1.0,,,,,,
Emerging Concept,human capital,Human capital,3,ESG performance & Firm performance,0.4771029367595785,1,1,3.0,"frequency=1 in cluster, 2 in corpus, z=0.61, tfidf=0.0055",Is it strategy or technology that drives value? Exploring the impact of digital transformation on manufacturing firms,10.1016/j.iref.2026.105076,0.3257399753917172,0.605168431218255,0.4176306710366193,0.005522798393907178,2.0,,,,,,
Emerging Concept,digital innovation,Digital innovation,0,Family firms & digital innovation,0.47072590480213017,1,1,372.0,"frequency=1 in cluster, 1 in corpus, z=-0.47, tfidf=0.0067",Digital transformation in family-owned Mittelstand firms: A dynamic capabilities perspective,10.1080/0960085X.2020.1857666,0.20509315605873046,-0.4722538490481345,0.33650714711972896,0.006679228088870498,1.0,,,,,,
Emerging Concept,ryad titah,Ryad Titah,0,Family firms & digital innovation,0.31623338013087676,1,1,372.0,"frequency=1 in cluster, 1 in corpus, z=-0.52, tfidf=0.0026",Digital transformation in family-owned Mittelstand firms: A dynamic capabilities perspective,10.1080/0960085X.2020.1857666,0.1995657890984177,-0.5238654309394836,0.5918439942429642,0.0025692134907704983,1.0,,,,,,
